PLAYER,H,POS,TEAM,GP,MIN,POSS,%FGA,%3PA,%FTA,%REB,%AST,%BLKA,%PFD,%PTS,PassesMade/POSS,PassesReceived/POSS,ScreenAssists/POSS,ASTAdj/POSS,TOV/POSS,PTS/POSS,2P%,3P%,FT%,%PTSFT,%RA_FGA,%PT_nonRA_FGA,%MR_FGA,%cns_2FGA,%pullup_2FGA,%Corner3_FGA,%ATB3_FGA,%cns_3PA,%pullup_3PA,2FGM%UAST,3FGM%UAST,%dr_1_2_fga,%dr_3plus_fga,%tch_0_2_fga,%tch_2plus_fga,%trsn_FGA,%iso_FGA,%pnrbh_FGA,%pnrrm_FGA,%postup_FGA,%spotup_FGA,%handoff_FGA,%cuts_FGA,%offscrn_FGA,%putbk_FGA,DRIVES/POSS,drives_PASS%,Avg Sec PerTouch,Avg Drib PerTouch,ElbowTouches/POSS,PostUps/POSS,PaintTouches/POSS,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,Dist. Miles Off/POSS,Dist. Miles Def/POSS,REB/MIN,ContestedREB%,AVG REBDistance,Box Outs/MIN,STL/MIN,BLK/MIN,Deflections/MIN,Loose BallsRecovered/MIN,ChargesDrawn/MIN,Contested2PT Shots/MIN,Contested3PT Shots/MIN,OppTOV/MIN,OppPF/MIN,OppFTA/MIN,Opp2P%,%opp_RA_FGA,opp_RA_FG%,%opp_PT_nonRA_FGA,opp_PT_nonRA_FG%,%opp_MR_FGA,opp_MR_FG%,Opp3P%,%opp_Corner3_FGA,opp_Corner3_FG%,%opp_ATB3_FGA,opp_ATB3_FG%,%opp_iso_FGA,opp_iso_FG%,%opp_pnrbh_FGA,opp_pnrbh_FG%,%opp_pnrrm_FGA,opp_pnrrm_FG%,%opp_postup_FGA,opp_postup_FG%,%opp_spotup_FGA,opp_spotup_FG%,%opp_handoff_FGA,opp_handoff_FG%,%opp_offscrn_FGA,opp_offscrn_FG%
Jaden McDaniels,81.0,F,MIN,68,1764,3752,16.2,16.2,8.4,17.7,8.4,14.9,11.6,15.3,0.45016,0.30117,0.00506,0.02692,0.01946,0.16764,57.97,31.3,80.0,8.9,0.32348,0.15896,0.0647,0.01109,0.07948,0.2366,0.21442,0.42699,0.02773,28.7,0.0,29.02,9.43,72.09,28.1,0.19224,0.0,0.02773,0.03512,0.0,0.45656,0.04436,0.11091,0.03882,0.06654,0.05384,36.1,1.55,0.75,0.00853,0.00107,0.03945,1.0,0.0,0.811,0.01946,0.0181,0.16383,33.2,7.2,0.02778,0.02891,0.02948,0.06236,0.02891,0.00057,0.16837,0.11848,0.3322,0.40986,0.52268,51.67,0.28558,62.79,0.17371,38.82,0.11995,43.78,35.98,0.12554,37.62,0.29304,35.42,0.01896,36.07,0.03294,42.45,0.00497,37.5,0.00559,61.11,0.07644,36.18,0.00963,22.58,0.00715,43.48
Doug McDermott,79.0,F,SAS,51,1223,2617,19.2,31.9,11.6,10.0,8.2,19.2,9.8,19.7,0.37409,0.40046,0.00382,0.03439,0.01643,0.22086,51.2,42.19,78.43,6.9,0.22796,0.14194,0.08172,0.03011,0.06452,0.11183,0.43656,0.45376,0.09462,15.0,0.9,33.12,7.96,76.77,23.01,0.17204,0.0,0.07312,0.0,0.0,0.31613,0.14839,0.08387,0.15484,0.02581,0.06687,28.0,1.67,0.78,0.00764,0.00038,0.01605,0.8,0.0,0.952,0.02144,0.01704,0.09403,27.8,7.5,0.02862,0.01063,0.00491,0.0139,0.01226,0.0,0.09812,0.07277,0.25511,0.36713,0.39575,54.35,0.32319,64.18,0.1842,42.89,0.14871,46.88,37.25,0.07351,42.53,0.26996,35.99,0.01563,45.95,0.0207,48.98,0.00634,46.67,0.00296,57.14,0.04647,43.64,0.01225,58.62,0.00718,35.29
Ben McLemore,75.0,G,POR,61,1206,2540,23.9,41.1,14.5,9.1,9.1,14.7,15.8,23.8,0.3878,0.48425,0.00197,0.02756,0.02008,0.2437,51.69,35.57,83.95,11.0,0.10577,0.02115,0.10385,0.04231,0.06154,0.25192,0.51346,0.61923,0.14423,16.4,3.5,23.65,4.04,83.08,16.92,0.16731,0.0,0.03077,0.0,0.0,0.34038,0.14615,0.025,0.24231,0.0,0.02441,46.8,1.74,0.91,0.01024,0.0,0.01378,0.538,0.0,1.057,0.02,0.01705,0.0796,28.1,8.1,0.01575,0.02819,0.00829,0.04975,0.02239,0.00083,0.04643,0.08292,0.32007,0.41376,0.5937,55.65,0.30521,67.39,0.16161,43.7,0.1,39.34,36.17,0.12464,39.54,0.30521,35.09,0.00948,45.0,0.02133,46.67,0.0,,0.00284,66.67,0.06588,43.88,0.01043,27.27,0.01327,32.14
De'Anthony Melton,74.0,G,MEM,70,1585,3427,21.2,31.6,14.7,19.5,21.1,17.0,15.0,19.6,0.60082,0.55763,0.007,0.06303,0.03093,0.22002,44.05,37.5,75.0,11.2,0.20362,0.16893,0.09502,0.01357,0.13273,0.08748,0.44042,0.37707,0.13876,53.3,15.2,22.93,29.41,55.35,43.59,0.28054,0.04223,0.15234,0.0,0.0,0.33032,0.07391,0.02866,0.04525,0.03771,0.09104,45.5,3.04,2.14,0.00992,0.0,0.02218,0.735,0.0,0.632,0.01818,0.01593,0.20189,23.7,7.0,0.01893,0.06435,0.02271,0.12681,0.03407,0.00063,0.08076,0.07319,0.33186,0.39117,0.47697,51.85,0.30785,63.81,0.17244,40.36,0.13164,39.06,34.69,0.07782,40.53,0.30716,33.48,0.0096,42.86,0.05485,39.38,0.00411,58.33,0.00514,46.67,0.04491,41.22,0.01851,37.04,0.01543,48.89
Chimezie Metu,81.0,F-C,SAC,58,1228,2597,19.9,21.2,16.5,29.9,9.4,23.5,17.0,18.8,0.51097,0.397,0.01271,0.02811,0.0231,0.19946,55.91,30.22,77.53,13.3,0.28211,0.20872,0.09174,0.01835,0.10092,0.13303,0.2844,0.36927,0.04128,24.6,3.6,28.44,9.4,68.58,31.19,0.15138,0.0344,0.0,0.08945,0.05963,0.45642,0.0,0.13303,0.0,0.02523,0.06739,27.4,1.76,0.73,0.01194,0.01309,0.04659,0.323,0.765,1.099,0.01864,0.01613,0.25896,28.0,5.0,0.0342,0.03746,0.02524,0.08143,0.0171,0.00081,0.14577,0.12052,0.29805,0.39169,0.36808,53.56,0.30448,65.35,0.17528,43.0,0.13135,40.33,37.76,0.0913,43.4,0.29328,36.56,0.02412,41.07,0.01938,40.0,0.00646,40.0,0.00861,65.0,0.06632,38.96,0.01077,48.0,0.00818,47.37
Khris Middleton,79.0,F,MIL,64,2074,4467,25.4,25.7,26.9,16.8,32.8,24.6,23.5,25.1,0.62033,0.71054,0.00515,0.09268,0.04186,0.28834,49.21,37.23,88.97,19.8,0.1303,0.18081,0.27576,0.03131,0.30202,0.04949,0.38182,0.20404,0.2101,67.6,37.1,23.64,47.47,33.64,66.46,0.15758,0.13939,0.23939,0.01515,0.08586,0.17778,0.03939,0.02222,0.08485,0.02323,0.11596,43.8,3.85,2.93,0.01142,0.03022,0.01657,0.314,0.4,0.919,0.01807,0.01569,0.16731,24.2,7.1,0.02507,0.03472,0.0082,0.06798,0.01688,0.00048,0.06991,0.08824,0.27001,0.43153,0.4161,53.21,0.24464,65.65,0.16633,42.88,0.14065,43.79,36.04,0.09601,36.88,0.35037,36.01,0.01646,50.0,0.03416,48.91,0.00399,56.25,0.00424,52.94,0.06284,39.29,0.01496,41.67,0.01072,41.86
Patty Mills,72.0,G,BKN,79,2291,4817,18.4,35.1,5.6,7.4,14.8,10.3,10.8,16.8,0.42205,0.49969,0.00706,0.04505,0.01453,0.18829,42.67,39.96,82.14,5.0,0.07791,0.03704,0.17241,0.00894,0.18135,0.1954,0.51341,0.54789,0.16092,38.5,7.6,23.37,18.01,75.22,24.9,0.15581,0.02937,0.09195,0.02937,0.0,0.37548,0.17497,0.0,0.10473,0.0,0.04297,59.9,2.69,2.44,0.00228,0.0,0.00353,0.727,0.0,0.765,0.01933,0.01717,0.06722,12.3,10.9,0.01397,0.02226,0.00742,0.03492,0.01484,0.00306,0.03012,0.05412,0.27324,0.40463,0.45832,52.45,0.30044,65.53,0.17321,40.21,0.13374,38.89,33.63,0.09589,34.87,0.2951,33.36,0.00998,39.53,0.03738,44.1,0.00348,33.33,0.0058,48.0,0.04319,34.41,0.00998,44.19,0.01207,42.31
Davion Mitchell,72.0,G,SAC,73,1998,4196,22.5,22.2,8.1,9.1,30.7,19.8,12.5,18.6,0.58556,0.71783,0.00071,0.08246,0.02645,0.19566,47.79,31.63,64.0,5.8,0.24044,0.1492,0.22441,0.00123,0.28483,0.05055,0.33046,0.20962,0.17016,76.5,34.3,15.41,60.3,30.46,68.31,0.13933,0.11837,0.39581,0.0,0.0,0.25277,0.05919,0.0,0.01603,0.0,0.16254,50.1,4.6,4.47,0.00191,0.0,0.00405,0.25,0.0,0.294,0.01837,0.01659,0.08108,14.6,10.6,0.02102,0.02753,0.01101,0.05405,0.02302,0.00601,0.07758,0.09259,0.2953,0.41291,0.43744,53.18,0.31253,65.32,0.18128,41.99,0.12023,38.48,36.31,0.09145,41.76,0.29102,35.03,0.00672,28.0,0.06993,40.0,0.00403,53.33,0.00646,58.33,0.0433,35.4,0.01641,37.7,0.01479,40.0
Donovan Mitchell,73.0,G,UTA,66,2231,4587,33.7,34.2,28.9,13.1,33.7,23.6,28.6,31.7,0.59712,0.8753,0.00153,0.09745,0.04338,0.37388,53.76,35.54,85.16,15.4,0.20148,0.21181,0.10701,0.00295,0.1572,0.04871,0.42952,0.17269,0.30406,82.8,51.9,16.9,63.32,25.24,74.83,0.12768,0.09299,0.47675,0.0,0.0,0.16015,0.05904,0.0,0.03911,0.01476,0.21932,32.0,5.32,4.77,0.00523,0.00065,0.01243,0.792,0.0,0.807,0.01785,0.01465,0.12326,23.3,9.8,0.02017,0.04393,0.00538,0.06992,0.02824,0.00134,0.03765,0.06948,0.25773,0.42268,0.41641,52.64,0.25614,65.95,0.21639,41.65,0.14386,45.23,35.8,0.08747,37.74,0.29422,35.54,0.00506,47.62,0.04024,46.71,0.00265,63.64,0.00313,69.23,0.03783,33.76,0.01711,46.48,0.00747,35.48
Evan Mobley,83.0,C,CLE,67,2274,4624,20.5,6.5,22.3,26.7,14.4,21.8,20.7,20.0,0.60705,0.47772,0.0333,0.04498,0.02855,0.21605,53.85,25.27,66.39,16.0,0.40447,0.31762,0.16501,0.06079,0.17122,0.02605,0.08561,0.1005,0.00868,34.8,4.3,34.0,15.01,52.73,47.27,0.09181,0.10794,0.01737,0.16253,0.14268,0.16873,0.0,0.20099,0.0,0.07568,0.05104,25.8,2.04,0.79,0.06228,0.04585,0.11073,0.493,0.528,0.926,0.01966,0.01646,0.24318,39.2,5.4,0.05189,0.02375,0.04793,0.04573,0.02726,0.0,0.25286,0.10906,0.28496,0.4336,0.38962,49.71,0.33228,58.63,0.16263,41.22,0.12827,37.74,35.96,0.10479,37.88,0.2696,35.28,0.01573,33.85,0.01162,50.0,0.01065,47.73,0.01186,44.9,0.06196,41.02,0.0046,36.84,0.00557,43.48
