PLAYER,H,POS,TEAM,GP,MIN,POSS,%FGA,%3PA,%FTA,%REB,%AST,%BLKA,%PFD,%PTS,PassesMade/POSS,PassesReceived/POSS,ScreenAssists/POSS,ASTAdj/POSS,TOV/POSS,PTS/POSS,2P%,3P%,FT%,%PTSFT,%RA_FGA,%PT_nonRA_FGA,%MR_FGA,%cns_2FGA,%pullup_2FGA,%Corner3_FGA,%ATB3_FGA,%cns_3PA,%pullup_3PA,2FGM%UAST,3FGM%UAST,%dr_1_2_fga,%dr_3plus_fga,%tch_0_2_fga,%tch_2plus_fga,%trsn_FGA,%iso_FGA,%pnrbh_FGA,%pnrrm_FGA,%postup_FGA,%spotup_FGA,%handoff_FGA,%cuts_FGA,%offscrn_FGA,%putbk_FGA,DRIVES/POSS,drives_PASS%,Avg Sec PerTouch,Avg Drib PerTouch,ElbowTouches/POSS,PostUps/POSS,PaintTouches/POSS,PTS PerElbow Touch,PTS PerPost Touch,PTS PerPaint Touch,Dist. Miles Off/POSS,Dist. Miles Def/POSS,REB/MIN,ContestedREB%,AVG REBDistance,Box Outs/MIN,STL/MIN,BLK/MIN,Deflections/MIN,Loose BallsRecovered/MIN,ChargesDrawn/MIN,Contested2PT Shots/MIN,Contested3PT Shots/MIN,OppTOV/MIN,OppPF/MIN,OppFTA/MIN,Opp2P%,%opp_RA_FGA,opp_RA_FG%,%opp_PT_nonRA_FGA,opp_PT_nonRA_FG%,%opp_MR_FGA,opp_MR_FG%,Opp3P%,%opp_Corner3_FGA,opp_Corner3_FG%,%opp_ATB3_FGA,opp_ATB3_FG%,%opp_iso_FGA,opp_iso_FG%,%opp_pnrbh_FGA,opp_pnrbh_FG%,%opp_pnrrm_FGA,opp_pnrrm_FG%,%opp_postup_FGA,opp_postup_FG%,%opp_spotup_FGA,opp_spotup_FG%,%opp_handoff_FGA,opp_handoff_FG%,%opp_offscrn_FGA,opp_offscrn_FG%
Malik Monk,75.0,G,LAL,73,2032,4312,20.5,28.0,11.3,13.2,19.7,19.3,11.8,20.0,0.51484,0.52713,0.00487,0.05937,0.02574,0.22519,56.58,39.13,77.88,8.3,0.28405,0.11933,0.05966,0.00389,0.08171,0.10117,0.4358,0.32685,0.20623,45.5,16.0,27.37,29.96,52.14,47.73,0.23995,0.05966,0.16213,0.04021,0.0,0.29442,0.05447,0.03891,0.07393,0.01686,0.11665,57.1,2.67,2.06,0.00881,0.00046,0.0225,0.711,0.0,0.99,0.01934,0.01619,0.1186,17.8,7.0,0.00344,0.02904,0.0128,0.04085,0.01526,0.00098,0.09596,0.0748,0.28199,0.406,0.48573,54.79,0.33333,65.9,0.17264,43.54,0.1166,39.64,35.51,0.08552,41.93,0.28977,33.82,0.01116,38.1,0.03453,41.54,0.00531,50.0,0.00558,52.38,0.05126,37.82,0.01434,25.93,0.01301,32.65
Ja Morant,75.0,G,MEM,56,1862,3946,32.0,21.7,42.9,16.6,39.2,37.1,41.0,34.0,0.66422,0.91206,0.00456,0.11505,0.04866,0.39103,53.52,33.99,76.23,20.2,0.38349,0.3405,0.05847,0.00172,0.19089,0.0215,0.19347,0.09372,0.11522,75.2,50.0,14.36,67.24,20.55,77.82,0.18315,0.12124,0.45658,0.0,0.0,0.10662,0.04557,0.02322,0.01548,0.02923,0.29169,28.3,5.83,4.91,0.01039,0.00101,0.02636,0.707,0.0,0.942,0.01847,0.01528,0.1724,22.1,8.3,0.00483,0.03545,0.01128,0.06122,0.03276,0.00054,0.04458,0.05854,0.28571,0.42427,0.43878,52.04,0.3082,62.28,0.17669,42.35,0.12288,40.28,37.05,0.07396,42.02,0.3177,35.96,0.00662,39.13,0.04921,45.61,0.00374,46.15,0.00662,34.78,0.05237,41.21,0.0118,36.59,0.00719,20.0
Monte Morris,74.0,G,DEN,74,2215,4551,19.2,21.2,8.8,10.9,24.1,15.7,9.3,17.7,0.77038,0.82048,0.00725,0.08987,0.01692,0.20545,54.63,39.35,86.9,7.9,0.20812,0.13743,0.24869,0.02487,0.28403,0.14136,0.2644,0.31152,0.09162,52.8,6.6,23.17,35.99,51.44,48.56,0.18194,0.04319,0.26309,0.0,0.0,0.2644,0.11257,0.07199,0.0301,0.0,0.06702,38.4,4.01,3.44,0.01252,0.0,0.01692,0.509,0.0,0.831,0.01956,0.01549,0.10068,13.0,9.9,0.00767,0.02528,0.00632,0.03837,0.01896,0.0009,0.05959,0.06772,0.24108,0.41896,0.37291,55.2,0.2845,69.07,0.21136,44.06,0.12799,42.86,34.26,0.09459,38.4,0.27864,33.07,0.00926,57.89,0.04315,46.33,0.00463,36.84,0.00658,51.85,0.04754,42.05,0.01341,38.18,0.01048,32.56
Marcus Morris Sr.,80.0,F,LAC,53,1540,3140,24.4,26.2,23.9,17.0,15.5,17.7,20.5,23.9,0.39268,0.47134,0.01019,0.0449,0.02197,0.26083,47.93,37.08,87.07,15.6,0.06637,0.20206,0.33776,0.0295,0.41298,0.09145,0.30088,0.29794,0.06932,67.5,10.1,26.55,33.63,36.14,61.36,0.09735,0.19174,0.08407,0.02065,0.16519,0.28024,0.0649,0.0118,0.04425,0.0118,0.06242,24.5,2.63,1.46,0.02166,0.05,0.01115,0.618,0.631,0.743,0.01736,0.01487,0.1539,20.1,7.7,0.03247,0.01818,0.01104,0.02727,0.01688,0.0013,0.05519,0.05584,0.23896,0.35844,0.4474,52.68,0.28919,64.54,0.21411,44.97,0.11887,37.72,35.69,0.08377,37.34,0.29232,35.43,0.01634,46.81,0.02086,58.33,0.00313,33.33,0.00278,50.0,0.05666,42.33,0.01112,43.75,0.00765,27.27
Dejounte Murray,76.0,G,SAS,67,2334,4920,26.8,18.7,26.3,25.6,45.3,25.4,25.9,25.6,0.8437,0.98191,0.00325,0.14736,0.03618,0.28882,50.43,32.99,78.84,13.3,0.24796,0.26183,0.25612,0.00571,0.36705,0.04486,0.18923,0.13622,0.09462,81.0,30.5,14.03,65.99,23.98,76.02,0.13132,0.11093,0.47064,0.0,0.0,0.15742,0.04568,0.02936,0.0155,0.02529,0.2435,44.8,5.07,4.68,0.00854,0.00122,0.02317,0.476,0.333,0.667,0.02067,0.01683,0.24079,21.9,6.3,0.01628,0.05784,0.00985,0.11525,0.02828,0.00043,0.07155,0.07584,0.28835,0.36675,0.43488,53.63,0.32597,62.22,0.1746,44.33,0.14,44.72,35.52,0.07626,39.4,0.28204,34.71,0.00819,52.78,0.07057,42.9,0.0041,72.22,0.00751,60.61,0.04371,37.5,0.01184,46.15,0.00979,39.53
Larry Nance Jr.,79.0,F-C,NOP,43,984,1998,13.1,8.8,12.1,26.9,17.5,11.8,15.5,13.5,0.53804,0.40591,0.04705,0.04605,0.01752,0.15015,60.49,33.33,69.09,12.7,0.48246,0.17982,0.04825,0.05263,0.02193,0.09649,0.1886,0.26754,0.01754,31.6,0.0,23.25,7.46,76.32,23.68,0.05263,0.0,0.0,0.21053,0.04386,0.22807,0.0,0.22368,0.0,0.12719,0.01502,20.0,2.16,1.14,0.04905,0.01251,0.07257,0.429,0.28,0.848,0.01922,0.01707,0.24085,34.2,5.9,0.05081,0.04065,0.02033,0.08333,0.01524,0.00813,0.12805,0.06911,0.28252,0.4126,0.46341,55.1,0.32403,67.49,0.15205,43.07,0.10991,35.23,34.94,0.11617,39.22,0.29499,33.59,0.02221,48.72,0.01139,55.0,0.0,,0.00285,40.0,0.05125,38.89,0.00569,50.0,0.00797,42.86
Raul Neto,74.0,G,WAS,68,1330,2756,18.4,14.3,16.1,11.5,31.6,24.7,21.7,16.6,0.78991,0.877,0.00399,0.09253,0.02721,0.18251,52.09,29.06,76.24,15.3,0.27804,0.36449,0.08411,0.0,0.21729,0.03738,0.23131,0.17523,0.09813,67.9,32.4,21.03,55.37,30.37,69.63,0.1028,0.05374,0.3972,0.0,0.0,0.25,0.07477,0.04673,0.02804,0.0,0.17888,40.2,4.84,4.55,0.00762,0.00036,0.01451,0.286,2.0,0.7,0.0205,0.01633,0.09925,11.4,10.2,0.01128,0.03985,0.00226,0.06617,0.03083,0.00301,0.09699,0.09323,0.25714,0.43985,0.45414,54.65,0.2725,69.1,0.22107,44.84,0.15305,43.09,36.03,0.08171,36.55,0.2696,36.15,0.01327,50.0,0.06512,42.04,0.00498,50.0,0.01286,54.84,0.04977,43.33,0.01825,47.73,0.01078,38.46
Georges Niang,79.0,F,PHI,76,1736,3537,18.5,30.9,6.6,13.0,11.8,15.8,8.5,17.7,0.59005,0.42833,0.01414,0.03704,0.01668,0.19791,51.14,40.31,88.14,7.4,0.14565,0.13144,0.04263,0.0071,0.04973,0.21847,0.46004,0.64476,0.02842,28.9,1.9,19.36,10.12,73.0,25.75,0.13854,0.0,0.01954,0.07282,0.0,0.60036,0.04263,0.02309,0.03375,0.01776,0.06474,39.7,1.57,0.65,0.00622,0.00226,0.01018,0.455,0.75,0.639,0.01934,0.01671,0.11694,23.3,7.7,0.0288,0.01728,0.00749,0.03053,0.01786,0.00173,0.12615,0.08641,0.26094,0.41359,0.46832,51.24,0.28658,64.96,0.17628,37.43,0.13197,39.61,35.29,0.09627,36.42,0.30698,35.1,0.02455,45.45,0.01753,40.0,0.00797,32.0,0.00765,41.67,0.05929,38.17,0.00701,63.64,0.00797,48.0
Jusuf Nurkic,83.0,C,POR,56,1578,3257,20.9,4.5,38.3,41.7,20.7,31.3,38.0,23.5,0.72889,0.5895,0.08474,0.05588,0.04391,0.25852,56.25,26.79,69.03,22.0,0.61167,0.24667,0.05,0.035,0.02,0.00167,0.09,0.085,0.00667,37.3,6.7,33.83,15.17,67.0,33.17,0.03667,0.0,0.0,0.26833,0.27333,0.07667,0.0,0.16833,0.0,0.165,0.01412,10.9,1.85,0.74,0.08658,0.09917,0.11759,0.571,0.517,0.869,0.0183,0.01618,0.39227,42.6,4.4,0.10456,0.03929,0.02155,0.07478,0.03549,0.00063,0.21926,0.0507,0.26806,0.40811,0.40621,53.11,0.28114,64.46,0.17452,42.34,0.13406,43.57,37.24,0.12702,41.0,0.2829,35.45,0.01196,35.29,0.0,,0.01513,55.81,0.00985,35.71,0.03483,44.44,0.0,,0.0,
Jordan Nwora,80.0,F,MIL,60,1135,2439,20.6,23.7,6.8,19.7,10.0,19.1,8.9,17.3,0.3731,0.37023,0.00287,0.02911,0.02255,0.18942,47.03,34.86,82.35,6.0,0.22426,0.10297,0.17391,0.00686,0.20137,0.15332,0.34554,0.35927,0.13272,37.9,25.0,28.38,26.09,54.23,45.77,0.19908,0.0389,0.15789,0.0,0.0,0.35011,0.09153,0.01831,0.04577,0.04577,0.06478,29.1,2.46,1.71,0.00738,0.00041,0.01681,0.778,0.0,1.073,0.0189,0.01697,0.18326,18.3,7.1,0.00793,0.02203,0.0141,0.04493,0.02291,0.0,0.0793,0.10925,0.27489,0.37797,0.45551,54.95,0.28538,66.88,0.17086,40.6,0.11732,46.83,36.35,0.08613,35.14,0.33799,36.91,0.0135,48.28,0.02607,41.07,0.00512,45.45,0.0,,0.06797,39.73,0.01164,28.0,0.0121,23.08
Royce O'Neale,77.0,F,UTA,75,2350,4806,10.3,15.1,4.8,16.4,16.8,7.5,7.7,10.1,0.78901,0.4228,0.02039,0.04578,0.01581,0.11694,61.76,39.26,79.63,7.6,0.24424,0.0576,0.01152,0.0,0.01152,0.22581,0.45853,0.61751,0.06682,32.1,1.7,21.2,6.45,81.11,18.89,0.24424,0.0,0.0,0.06221,0.0,0.57143,0.0,0.04839,0.0,0.03226,0.03267,52.2,1.6,0.71,0.01061,0.0,0.01852,0.373,0.0,0.472,0.01995,0.01669,0.15489,24.5,7.1,0.02298,0.0366,0.01362,0.05745,0.01702,0.0,0.07064,0.06638,0.25277,0.42,0.40979,51.76,0.26192,65.33,0.21378,40.88,0.14625,43.06,35.7,0.08465,37.47,0.29181,35.5,0.01437,42.86,0.07643,42.69,0.00365,31.25,0.00913,47.5,0.03947,39.31,0.0251,43.64,0.01529,46.27
Chuma Okeke,78.0,F,ORL,69,1720,3647,17.6,26.0,9.0,21.9,14.1,7.1,10.6,16.1,0.49931,0.37401,0.01069,0.03702,0.01536,0.16123,47.78,31.48,84.62,9.3,0.18149,0.10854,0.07295,0.00712,0.08541,0.15836,0.47865,0.51068,0.10676,46.4,3.5,22.06,16.19,66.73,30.78,0.13701,0.02313,0.06762,0.02669,0.01779,0.48932,0.07295,0.0516,0.04804,0.02491,0.05895,47.0,2.19,1.49,0.00795,0.00356,0.02002,0.793,0.462,0.712,0.01889,0.01637,0.19826,32.9,7.1,0.04651,0.05581,0.02384,0.08488,0.02733,0.0,0.12616,0.10058,0.29942,0.37442,0.44419,53.81,0.27654,66.09,0.19263,41.42,0.12905,45.32,35.62,0.09154,37.5,0.30737,35.57,0.01144,41.67,0.03179,54.0,0.0054,41.18,0.00922,65.52,0.05944,37.43,0.00731,39.13,0.00795,24.0
Isaac Okoro,77.0,G-F,CLE,65,1935,3918,12.6,12.4,16.8,11.1,11.6,17.8,15.2,13.2,0.37366,0.38719,0.00332,0.03497,0.0148,0.14829,55.39,35.26,77.12,20.3,0.52471,0.08471,0.02588,0.0,0.02118,0.28,0.08471,0.33647,0.02353,28.9,5.5,27.53,19.29,60.71,39.29,0.27765,0.03765,0.05176,0.0,0.0,0.40941,0.03529,0.11059,0.0,0.04941,0.05539,39.6,2.25,1.41,0.00868,0.0,0.02833,0.676,0.0,0.946,0.01843,0.01776,0.10233,30.3,10.4,0.01912,0.02894,0.01137,0.04703,0.02274,0.00258,0.10491,0.05736,0.27649,0.42584,0.41809,52.21,0.34605,60.82,0.15669,43.91,0.13212,39.61,36.18,0.11246,38.56,0.2521,35.09,0.01417,34.69,0.06794,43.83,0.00405,28.57,0.0052,44.44,0.04105,37.32,0.01648,26.32,0.01301,31.11
Cedi Osman,79.0,F,CLE,64,1409,2918,22.6,33.5,19.1,11.4,17.4,19.4,17.5,22.0,0.53016,0.62303,0.00514,0.05757,0.02262,0.23475,55.12,35.61,66.14,12.3,0.2482,0.08993,0.03237,0.0,0.05576,0.11511,0.51259,0.49101,0.13489,32.7,13.6,23.38,18.35,68.53,31.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07882,43.5,2.55,1.66,0.01268,0.00069,0.01885,0.784,1.0,0.945,0.01943,0.01638,0.09936,19.3,8.7,0.01348,0.0362,0.0071,0.05678,0.01419,0.00071,0.07665,0.06671,0.28176,0.42654,0.43506,53.3,0.33295,62.59,0.16531,44.84,0.12573,40.12,34.09,0.0943,38.27,0.27784,32.96,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
Kelly Oubre Jr.,78.0,G-F,CHA,74,1960,4154,24.6,34.7,19.7,16.2,7.5,20.9,18.5,23.9,0.31512,0.41093,0.00361,0.0248,0.01589,0.26793,57.56,34.26,67.03,11.1,0.26172,0.11123,0.04035,0.00218,0.06761,0.18539,0.39913,0.45038,0.12214,38.7,7.0,28.68,14.39,65.21,32.82,0.20284,0.04362,0.06761,0.03053,0.0,0.36641,0.0916,0.05998,0.05453,0.05998,0.06452,19.4,2.01,1.24,0.0077,0.00048,0.02648,1.281,0.0,1.018,0.01769,0.01632,0.15051,34.0,7.2,0.00816,0.03776,0.01582,0.09235,0.02908,0.00051,0.0648,0.07449,0.30867,0.43571,0.49592,54.7,0.31893,63.68,0.14227,42.94,0.10127,42.66,35.68,0.11915,39.26,0.31673,34.58,0.00826,46.67,0.03275,36.13,0.00413,40.0,0.00578,71.43,0.05861,39.44,0.00743,29.63,0.00936,32.35
Chris Paul,72.0,G,PHX,64,2101,4387,18.6,14.6,22.9,14.3,55.5,8.3,23.9,18.6,0.81742,0.88899,0.0057,0.18737,0.03419,0.21473,55.6,31.82,83.5,17.7,0.04276,0.28,0.40414,0.00552,0.56276,0.02345,0.24552,0.07034,0.19034,90.1,58.7,13.93,75.45,11.72,86.34,0.09655,0.13793,0.58069,0.0,0.0,0.10897,0.02897,0.0,0.0,0.0,0.16959,50.3,5.87,5.2,0.00365,0.00251,0.00365,0.375,0.727,0.125,0.0168,0.01372,0.13184,18.9,8.9,0.01333,0.05664,0.00952,0.08234,0.02856,0.00095,0.02618,0.05283,0.30366,0.406,0.41218,51.77,0.24706,64.97,0.22504,45.28,0.15028,39.86,32.41,0.07706,33.55,0.29928,32.16,0.00333,23.08,0.03328,46.15,0.00282,9.09,0.00486,52.63,0.04864,38.95,0.0128,44.0,0.00819,28.12
Gary Payton II,75.0,G,GSW,68,1182,2454,15.6,12.2,11.3,21.4,9.2,10.5,11.4,17.5,0.4401,0.35126,0.01385,0.03504,0.01589,0.19478,75.24,36.44,58.93,6.9,0.49695,0.1372,0.0061,0.00305,0.0122,0.21951,0.1372,0.34146,0.00305,21.5,0.0,15.24,6.1,85.06,14.02,0.22866,0.0,0.0,0.02439,0.0,0.31098,0.0,0.27439,0.0,0.09146,0.01222,53.3,1.66,0.79,0.01589,0.00693,0.08068,0.821,0.353,1.025,0.01874,0.01952,0.19712,37.5,5.9,0.02453,0.07868,0.01777,0.14721,0.03046,0.0,0.08376,0.08291,0.34602,0.36464,0.47208,50.69,0.2296,65.7,0.24763,44.25,0.11006,33.62,33.68,0.10863,38.86,0.29839,32.43,0.00996,33.33,0.05977,32.54,0.0038,50.0,0.00901,42.11,0.05076,38.32,0.01328,46.43,0.00806,23.53
Mason Plumlee,83.0,F-C,CHA,71,1752,3687,9.4,0.1,23.8,32.7,21.1,18.2,25.2,11.3,0.60917,0.45403,0.05126,0.07242,0.02631,0.12503,64.08,0.0,38.92,14.1,0.791,0.18328,0.01929,0.01608,0.03215,0.0,0.00322,0.00322,0.00322,22.7,0.0,25.72,8.36,72.35,26.37,0.13183,0.02251,0.0,0.209,0.04823,0.0836,0.0,0.33119,0.0,0.14791,0.02631,44.3,1.93,0.96,0.0594,0.02251,0.12639,0.361,0.169,0.603,0.0189,0.01622,0.31621,42.4,4.7,0.07591,0.03368,0.02854,0.07591,0.02397,0.00114,0.21975,0.08219,0.30651,0.36986,0.41952,53.89,0.30106,63.81,0.16601,44.61,0.10713,40.51,34.9,0.12777,35.39,0.29712,34.73,0.01942,26.56,0.00273,33.33,0.00759,40.0,0.00971,37.5,0.04492,33.78,0.0,,0.0,
Jakob Poeltl,85.0,C,SAS,66,1910,3993,17.2,0.1,25.2,33.8,15.9,20.2,26.3,19.3,0.73303,0.49086,0.09116,0.05309,0.02655,0.22239,61.88,100.0,49.47,10.5,0.53666,0.41966,0.04212,0.13261,0.03588,0.0,0.0,0.0,0.00156,29.5,0.0,24.02,1.87,84.09,15.91,0.03744,0.0234,0.0,0.33541,0.11388,0.01872,0.0,0.25429,0.0,0.19813,0.01528,36.1,1.55,0.41,0.10218,0.03581,0.16228,0.61,0.503,0.866,0.01956,0.01753,0.3178,58.3,4.6,0.08063,0.02304,0.05969,0.05759,0.02094,0.00105,0.40262,0.0911,0.27853,0.37644,0.43037,52.46,0.31842,61.28,0.19961,43.14,0.14286,45.4,37.33,0.07464,38.95,0.26391,37.08,0.02544,41.76,0.0028,50.0,0.02432,43.68,0.01426,56.86,0.0411,46.26,0.0,,0.00252,22.22
Aleksej Pokusevski,84.0,F,OKC,61,1233,2595,19.9,20.0,10.4,26.8,21.4,17.8,12.7,17.3,0.6605,0.57225,0.00848,0.06127,0.03622,0.17881,49.81,28.93,70.0,7.5,0.26096,0.22149,0.08553,0.02193,0.125,0.09211,0.33991,0.36842,0.05702,46.5,5.3,22.37,17.54,64.91,35.09,0.19518,0.0307,0.09868,0.10088,0.0,0.33114,0.03728,0.06579,0.02412,0.10088,0.09249,51.3,2.23,1.41,0.01464,0.00116,0.04277,0.632,0.667,0.847,0.02015,0.01603,0.25791,29.6,5.4,0.0146,0.03163,0.03082,0.05839,0.01703,0.0,0.15896,0.12976,0.2944,0.38281,0.35848,53.07,0.22188,64.33,0.20542,49.57,0.11116,36.0,35.28,0.13606,40.85,0.32325,33.43,0.01067,33.33,0.02045,36.96,0.00934,38.1,0.004,66.67,0.08404,39.68,0.00667,26.67,0.00934,28.57
Jordan Poole,76.0,G,GSW,73,2188,4556,25.5,30.6,26.0,11.8,22.7,29.8,25.6,26.3,0.68547,0.84482,0.00505,0.0777,0.03863,0.29543,55.7,36.78,91.97,17.1,0.2004,0.15079,0.10317,0.00694,0.13294,0.09325,0.44742,0.32738,0.20536,57.5,30.5,24.01,35.62,44.94,53.67,0.1756,0.08631,0.21726,0.01091,0.0,0.18056,0.12897,0.02976,0.13393,0.00893,0.1273,39.1,4.01,3.47,0.00505,0.00044,0.0101,0.826,0.0,0.957,0.0194,0.01512,0.11243,14.6,9.5,0.00777,0.02697,0.0096,0.04022,0.02148,0.00091,0.04296,0.08044,0.2925,0.38803,0.48995,51.11,0.23223,65.96,0.23429,43.74,0.11586,36.22,34.61,0.10711,40.38,0.30742,32.91,0.00747,55.17,0.03115,33.06,0.00438,23.53,0.00438,64.71,0.04943,38.02,0.01674,55.38,0.01133,40.91
Kevin Porter Jr.,76.0,G-F,HOU,59,1828,3881,23.4,26.5,21.3,15.2,40.4,17.1,20.8,21.2,0.77351,0.84334,0.00232,0.1108,0.04844,0.22881,45.53,36.99,62.9,13.2,0.2523,0.13141,0.10118,0.00526,0.13141,0.05913,0.45598,0.1406,0.36531,73.2,49.0,17.35,62.29,23.39,76.61,0.19448,0.13535,0.39028,0.0,0.0,0.14323,0.05125,0.02365,0.01445,0.01314,0.14069,43.6,5.08,4.49,0.0085,0.00206,0.01649,0.697,0.5,0.813,0.01855,0.01592,0.13621,25.3,7.3,0.01204,0.03665,0.01204,0.07057,0.02845,0.00055,0.08425,0.0744,0.27352,0.4442,0.48796,56.42,0.32422,68.41,0.16226,43.44,0.11335,40.1,34.05,0.10242,37.08,0.29545,33.4,0.00978,55.88,0.05524,45.83,0.00374,46.15,0.00892,58.06,0.04862,40.24,0.01036,44.44,0.01266,43.18
Otto Porter Jr.,80.0,F,GSW,61,1341,2808,16.4,18.1,10.4,27.8,12.7,7.5,13.9,16.2,0.56125,0.41702,0.01425,0.04309,0.01246,0.17771,57.89,36.84,81.36,9.6,0.20551,0.13534,0.14286,0.03008,0.11529,0.12782,0.38847,0.47368,0.0401,26.4,5.2,24.31,3.51,79.45,19.3,0.14035,0.0,0.03008,0.07519,0.0,0.38847,0.04762,0.10276,0.11028,0.08271,0.01923,24.1,1.77,0.67,0.02244,0.01104,0.04808,0.762,0.258,0.778,0.01912,0.0162,0.25951,34.3,6.1,0.03356,0.04922,0.02163,0.07159,0.0261,0.00075,0.10291,0.05966,0.31618,0.37435,0.46532,50.07,0.22804,64.63,0.25042,42.66,0.1174,37.41,34.45,0.10346,45.31,0.29814,31.02,0.01774,42.86,0.01816,44.19,0.00591,50.0,0.00676,56.25,0.05363,44.09,0.00507,41.67,0.00465,36.36
Bobby Portis,82.0,F,MIL,70,1980,4207,22.6,20.6,13.2,31.6,8.2,23.6,14.3,21.3,0.49227,0.34514,0.02924,0.02496,0.02139,0.24412,53.49,39.27,75.22,8.2,0.24911,0.20071,0.17001,0.05667,0.1405,0.15466,0.23731,0.37898,0.01181,43.6,0.0,24.68,9.21,69.78,30.11,0.15466,0.02007,0.0,0.14168,0.14168,0.28926,0.01889,0.0791,0.01181,0.12987,0.02496,23.8,1.54,0.58,0.02163,0.02852,0.07559,0.659,0.6,0.858,0.01807,0.01707,0.32071,39.8,5.0,0.10354,0.02626,0.02576,0.05758,0.02424,0.0,0.19242,0.12778,0.26465,0.37727,0.39545,52.29,0.24316,64.81,0.16662,41.79,0.13606,42.97,35.89,0.09886,33.87,0.3545,36.43,0.02445,40.22,0.00531,55.0,0.01568,38.98,0.01143,51.16,0.05341,29.35,0.00345,46.15,0.0,
Kristaps Porzingis,87.0,F-C,WAS,51,1481,3030,28.6,23.6,46.7,30.1,14.7,27.4,39.1,30.9,0.60495,0.62838,0.04224,0.04686,0.02673,0.33993,53.2,30.95,86.71,24.1,0.24641,0.21121,0.21382,0.08475,0.16428,0.01173,0.31551,0.30248,0.02216,31.8,1.3,25.42,7.82,66.1,33.9,0.10169,0.03129,0.0,0.16949,0.19948,0.23598,0.01695,0.08475,0.05606,0.07432,0.04554,26.1,1.72,0.66,0.06007,0.08614,0.10429,0.67,0.605,0.981,0.01835,0.01548,0.27752,42.3,5.1,0.06077,0.02498,0.05672,0.04456,0.01283,0.0,0.25996,0.0709,0.23903,0.40243,0.35787,52.08,0.26214,67.19,0.19763,39.02,0.1472,42.32,36.88,0.10567,38.25,0.2855,36.75,0.01706,41.3,0.0,,0.02039,41.82,0.00816,68.18,0.04709,33.86,0.0,,0.00371,50.0
Dwight Powell,82.0,F-C,DAL,80,1746,3446,12.8,2.9,26.0,26.2,11.3,20.3,30.4,17.7,0.53453,0.39147,0.0827,0.03366,0.01683,0.19936,69.52,35.14,80.0,23.3,0.76546,0.10567,0.03351,0.03093,0.00773,0.02062,0.07474,0.08247,0.00773,14.3,0.0,12.37,2.32,89.43,10.82,0.07216,0.0,0.0,0.31443,0.03866,0.10825,0.0,0.32474,0.0,0.12113,0.01219,33.3,1.51,0.45,0.0444,0.00319,0.14481,0.418,1.364,1.06,0.02086,0.0175,0.22566,40.6,6.0,0.10367,0.02119,0.02119,0.05097,0.01546,0.00573,0.28293,0.08362,0.26976,0.44273,0.38603,55.49,0.28933,68.1,0.19507,47.81,0.1445,40.45,35.72,0.09655,38.1,0.27356,35.05,0.01478,40.0,0.00493,40.0,0.01314,35.0,0.01248,50.0,0.04893,44.3,0.00361,27.27,0.0,
Payton Pritchard,73.0,G,BOS,69,966,1983,20.8,28.4,4.4,13.8,28.5,13.4,6.6,19.5,0.75391,0.8119,0.00555,0.08674,0.02017,0.21079,44.26,41.63,100.0,4.4,0.12113,0.07887,0.15493,0.02254,0.13521,0.11549,0.55775,0.44789,0.2,64.9,20.2,15.49,34.93,56.62,43.38,0.1493,0.04789,0.22254,0.0,0.0,0.41972,0.03944,0.0,0.04507,0.0,0.08522,60.4,3.98,3.58,0.00756,0.0,0.01059,0.0,0.0,0.19,0.01962,0.01679,0.13043,19.0,9.4,0.02277,0.02277,0.00518,0.04141,0.02588,0.00104,0.06418,0.06418,0.25776,0.39337,0.4617,49.02,0.26272,62.11,0.21515,41.65,0.14159,35.94,34.45,0.08739,36.71,0.29259,33.84,0.01162,23.81,0.05254,32.63,0.0,,0.00498,44.44,0.04535,26.83,0.01383,40.0,0.0083,46.67
Immanuel Quickley,75.0,G,NYK,76,1724,3470,22.6,29.1,20.4,14.0,32.3,18.6,19.7,21.4,0.70576,0.82594,0.00403,0.08761,0.02709,0.23775,44.08,34.31,88.54,20.6,0.10294,0.22941,0.11471,0.00294,0.21618,0.06029,0.49265,0.19118,0.35441,69.4,45.7,24.12,53.53,30.0,68.24,0.13824,0.11471,0.34706,0.0,0.0,0.28529,0.05588,0.0,0.01765,0.00882,0.15245,46.5,4.94,4.53,0.00548,0.0,0.00893,0.632,0.0,0.323,0.0202,0.01732,0.13399,10.9,8.7,0.0145,0.03016,0.00174,0.04988,0.02088,0.00058,0.08991,0.10615,0.26508,0.42923,0.48666,50.03,0.27151,60.2,0.16111,40.79,0.12875,39.9,32.9,0.11174,32.24,0.32355,33.51,0.00734,50.0,0.0537,36.65,0.00534,31.25,0.00367,45.45,0.07071,38.21,0.01101,39.39,0.01167,45.71
