Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
".L. Markkanen, .J. Allen, .D. Garland, .I. Okoro, .E. Mobley",CLE,19,225,115.3,103.7,11.6,65.4,1.84,20.7,28.6,75.2,54.2,0.2,58.6,61.4,98.45,58.2
".N. Batum, .M. Morris Sr., .R. Jackson, .I. Zubac, .A. Coffey",LAC,18,221,106.4,119.9,-13.5,60.0,2.08,17.7,22.2,76.7,48.8,0.1,50.7,54.2,98.04,44.2
".H. Whiteside, .B. Bogdanovic, .J. Clarkson, .R. O'Neale, .D. Mitchell",UTA,44,214,116.0,105.6,10.3,49.2,1.56,15.2,32.6,73.1,53.6,0.1,55.4,59.1,102.88,54.0
".S. Adams, .J. Jackson Jr., .J. Morant, .D. Bane, .Z. Williams",MEM,22,208,119.3,115.1,4.2,54.5,1.91,17.3,36.8,72.8,54.1,0.1,53.9,56.3,99.72,50.8
".D. Gallinari, .C. Capela, .K. Huerter, .T. Young, .D. Hunter",ATL,21,202,118.8,114.0,4.8,58.5,2.97,18.9,22.2,75.5,47.8,0.1,56.9,59.8,101.38,50.3
".K. Birch, .P. Siakam, .F. VanVleet, .G. Trent Jr., .S. Barnes",TOR,18,188,109.9,115.6,-5.7,46.3,1.48,14.0,30.2,79.6,52.6,0.1,51.0,55.0,99.41,43.7
".N. Batum, .M. Morris Sr., .R. Jackson, .I. Zubac, .T. Mann",LAC,19,181,114.4,104.0,10.4,55.0,1.98,18.0,29.6,72.9,51.6,0.1,53.6,56.4,98.48,53.8
".C. Capela, .J. Collins, .K. Huerter, .T. Young, .D. Hunter",ATL,15,178,114.7,112.4,2.2,61.7,2.06,20.1,29.1,77.2,53.4,0.1,57.2,58.8,104.42,50.9
".C. Wood, .D. Theis, .K. Porter Jr., .J. Green, .J. Tate",HOU,13,172,82.4,108.5,-26.1,56.8,0.76,13.3,25.8,79.0,52.0,0.2,44.8,47.4,101.65,34.4
".K. Durant, .B. Griffin, .J. Harden, .J. Harris, .B. Brown",BKN,11,171,103.0,97.8,5.1,72.1,1.66,20.0,19.4,78.2,50.3,0.2,54.8,57.7,103.65,55.6
".S. Adams, .J. Jackson Jr., .D. Melton, .J. Morant, .D. Bane",MEM,23,170,115.6,109.1,6.5,53.9,1.66,16.3,36.2,72.8,53.9,0.1,52.8,56.6,102.01,51.4
".S. Adams, .T. Jones, .D. Brooks, .J. Jackson Jr., .D. Bane",MEM,16,170,115.0,105.3,9.7,60.3,2.17,17.9,34.2,72.6,53.7,0.1,51.4,55.8,100.13,57.5
".W. Barton, .A. Gordon, .N. Jokic, .M. Morris, .M. Porter Jr.",DEN,9,170,104.7,93.6,11.1,61.5,1.5,19.6,21.9,80.5,53.3,0.2,57.0,58.0,101.84,57.3
".N. Batum, .P. George, .E. Bledsoe, .R. Jackson, .I. Zubac",LAC,13,167,104.7,114.1,-9.3,60.4,1.56,17.7,18.8,76.5,47.6,0.2,53.0,56.6,102.61,47.7
".C. Capela, .B. Bogdanovic, .J. Collins, .K. Huerter, .T. Young",ATL,14,164,128.2,97.4,30.8,59.0,2.76,21.0,31.1,73.5,54.9,0.1,61.7,63.5,98.94,63.0
".G. Harris, .M. Bamba, .W. Carter Jr., .C. Anthony, .F. Wagner",ORL,22,163,114.9,109.2,5.8,66.7,2.04,20.6,27.3,75.8,51.8,0.1,57.4,60.1,98.89,52.3
