Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
".E. Gordon, .K. Porter Jr., .J. Green, .K. Martin Jr., .A. Sengun",HOU,4,43,115.8,102.1,13.7,55.8,1.26,19.2,17.6,82.6,55.0,0.2,64.3,66.5,107.47,55.6
".G. Hill, .J. Holiday, .G. Antetokounmpo, .B. Portis, .G. Allen",MIL,11,43,107.4,99.0,8.5,51.3,1.82,16.4,19.0,82.5,50.0,0.1,56.3,59.0,105.74,53.5
".L. Aldridge, .K. Durant, .J. Harden, .P. Mills, .B. Brown",BKN,11,43,112.6,111.3,1.3,61.9,1.73,19.4,28.3,75.0,51.1,0.2,55.8,57.8,107.54,49.5
".L. James, .D. Howard, .T. Ariza, .R. Westbrook, .A. Bradley",LAL,4,43,96.6,112.5,-15.9,43.8,0.93,12.2,27.5,82.9,50.0,0.2,47.5,48.8,96.92,33.6
".M. Smart, .J. Brown, .D. White, .R. Williams III, .G. Williams",BOS,11,43,108.7,124.5,-15.8,74.4,2.64,21.6,28.3,62.9,43.2,0.1,51.8,55.3,103.45,43.7
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .G. Payton II",GSW,7,43,108.7,94.6,14.1,73.7,2.33,21.5,21.3,69.6,47.6,0.1,55.5,57.0,103.56,59.5
".S. Gilgeous-Alexander, .D. Bazley, .I. Roby, .A. Pokusevski, .T. Mann",OKC,5,43,108.8,97.0,11.8,50.0,1.05,15.8,25.0,77.6,56.1,0.2,60.8,63.2,112.15,59.9
".T. Harris, .S. Curry, .J. Embiid, .G. Niang, .T. Maxey",PHI,12,43,114.0,93.7,20.3,55.6,2.22,17.5,22.2,72.7,50.0,0.1,58.7,61.9,93.11,65.2
".T. McConnell, .M. Turner, .D. Sabonis, .C. LeVert, .C. Duarte",IND,4,43,113.2,95.7,17.5,51.1,1.44,18.1,34.2,80.4,59.5,0.2,59.6,59.8,101.04,57.9
".T. Ross, .M. Bamba, .W. Carter Jr., .C. Anthony, .F. Wagner",ORL,18,43,115.8,118.6,-2.8,64.7,1.47,17.1,30.8,74.5,55.6,0.2,56.3,63.0,107.34,53.1
".A. Rivers, .W. Barton, .A. Gordon, .N. Jokic, .F. Campazzo",DEN,8,42,88.5,118.0,-29.5,71.4,1.25,17.1,24.4,78.0,51.2,0.2,47.1,50.1,101.7,33.0
".D. Cousins, .A. Rivers, .J. Green, .B. Forbes, .F. Campazzo",DEN,3,42,120.9,92.2,28.7,64.1,1.47,18.9,43.6,86.4,66.3,0.2,61.8,64.5,104.59,63.9
".D. Walton Jr., .H. Diallo, .S. Bey, .C. Stanley, .L. Garza",DET,3,42,121.3,86.4,35.0,50.0,1.06,15.4,38.5,66.0,53.9,0.2,55.9,61.8,100.11,73.6
".G. Hill, .J. Holiday, .G. Antetokounmpo, .P. Connaughton, .G. Allen",MIL,14,42,141.3,68.9,72.4,59.5,5.0,20.0,21.6,80.3,58.2,0.1,68.5,72.1,104.4,94.3
".J. Culver, .K. Tillie, .J. Konchar, .X. Tillman, .S. Aldama",MEM,4,42,122.1,110.5,11.6,74.4,4.0,24.1,32.7,80.6,52.9,0.1,58.7,57.5,98.09,53.0
".J. Nurkic, .N. Powell, .L. Nance Jr., .A. Simons, .N. Little",POR,2,42,143.0,129.1,14.0,46.3,2.71,16.2,32.5,73.7,52.6,0.1,63.0,67.2,97.4,52.7
".K. Caldwell-Pope, .R. Neto, .K. Porzingis, .R. Hachimura, .C. Kispert",WAS,3,42,104.8,127.4,-22.6,73.5,3.57,21.7,14.6,77.8,44.2,0.1,50.7,54.5,96.92,41.1
".K. Thompson, .D. Green, .A. Wiggins, .K. Looney, .J. Poole",GSW,4,42,95.3,121.8,-26.5,81.8,2.08,21.6,25.5,76.6,51.1,0.2,47.5,49.1,99.25,40.6
".L. James, .R. Westbrook, .A. Bradley, .A. Davis, .T. Horton-Tucker",LAL,5,42,109.2,107.9,1.3,61.5,2.0,20.3,18.4,75.0,47.4,0.1,56.0,58.5,101.29,51.4
".P. George, .E. Bledsoe, .R. Jackson, .I. Zubac, .A. Coffey",LAC,4,42,114.6,113.3,1.4,51.4,1.29,17.3,12.1,76.2,48.0,0.2,66.9,67.3,95.0,50.1
".R. Bullock, .D. Powell, .K. Porzingis, .D. Finney-Smith, .J. Brunson",DAL,4,42,114.8,118.8,-3.9,58.3,2.1,18.1,32.6,78.4,53.8,0.1,51.3,54.8,92.18,52.6
".R. Holmes, .D. Fox, .C. Metu, .T. Davis, .T. Haliburton",SAC,3,42,103.2,94.6,8.7,64.1,1.79,20.2,14.6,72.5,46.7,0.2,59.7,59.6,105.3,60.0
".C. Paul, .D. Booker, .M. Bridges, .D. Ayton, .C. Johnson",PHX,17,41,117.7,92.5,25.2,71.4,2.73,22.7,15.4,74.5,50.0,0.1,60.3,63.5,110.92,68.8
".D. Favors, .D. Bazley, .L. Dort, .T. Mann, .J. Giddey",OKC,3,41,90.7,107.0,-16.3,50.0,0.83,13.4,26.8,79.5,54.1,0.2,47.2,50.8,101.42,39.5
".D. Rose, .E. Fournier, .J. Randle, .M. Robinson, .R. Barrett",NYK,11,41,90.9,105.8,-14.9,50.0,1.0,13.3,31.4,67.3,49.0,0.2,44.4,46.7,102.12,39.8
".H. Barnes, .A. Len, .B. Hield, .D. Fox, .D. Mitchell",SAC,10,41,89.8,114.1,-24.4,65.5,1.46,15.8,25.5,82.1,50.0,0.1,43.5,46.5,105.62,34.1
".H. Barnes, .R. Holmes, .B. Hield, .D. Fox, .D. Mitchell",SAC,14,41,102.2,94.5,7.7,56.7,1.55,14.9,18.2,66.0,43.6,0.1,50.0,56.5,106.3,51.9
".K. Birch, .F. VanVleet, .O. Anunoby, .S. Mykhailiuk, .G. Trent Jr.",TOR,6,41,111.8,88.0,23.8,54.1,2.0,17.1,29.3,75.6,52.4,0.1,55.2,57.7,98.99,65.7
".K. Lowry, .P. Tucker, .B. Adebayo, .D. Robinson, .G. Vincent",MIA,5,41,119.3,110.1,9.2,71.8,2.15,22.0,25.0,76.9,49.4,0.1,58.6,60.2,103.23,51.8
".K. Lowry, .P. Tucker, .J. Butler, .D. Dedmon, .D. Robinson",MIA,15,41,88.6,118.9,-30.3,75.0,1.2,15.5,21.7,73.8,46.6,0.2,41.9,48.8,103.87,32.9
".P. George, .E. Bledsoe, .L. Kennard, .I. Hartenstein, .T. Mann",LAC,16,41,118.6,87.4,31.2,75.7,2.0,22.0,36.1,72.7,56.3,0.2,61.0,64.4,100.98,66.9
".P. Tucker, .J. Butler, .B. Adebayo, .G. Vincent, .T. Herro",MIA,9,41,108.3,113.6,-5.2,64.3,1.2,15.7,35.1,70.0,53.2,0.2,52.4,60.2,96.91,49.8
".R. Bullock, .D. Powell, .D. Finney-Smith, .M. Kleber, .J. Brunson",DAL,9,41,106.1,89.3,16.8,74.3,2.6,22.4,19.0,81.8,51.2,0.1,54.7,55.4,97.49,60.0
".R. Jackson, .R. Covington, .L. Kennard, .I. Hartenstein, .A. Coffey",LAC,7,41,114.8,97.7,17.1,70.3,2.17,20.5,31.7,85.0,58.0,0.1,58.6,61.1,101.61,58.3
".R. Rubio, .L. Markkanen, .J. Allen, .D. Garland, .E. Mobley",CLE,13,41,128.7,88.1,40.6,59.1,3.71,20.8,32.4,73.8,54.4,0.1,60.8,62.8,99.28,75.5
".T. Ross, .W. Carter Jr., .C. Okeke, .C. Anthony, .F. Wagner",ORL,9,41,94.0,101.2,-7.1,64.3,1.29,15.7,28.9,80.0,52.9,0.2,44.2,49.1,99.65,44.1
".A. Iguodala, .S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II",GSW,10,40,115.1,89.3,25.8,64.9,2.0,18.9,39.5,66.7,54.3,0.1,58.6,58.7,100.92,66.7
".B. Beal, .K. Caldwell-Pope, .K. Kuzma, .D. Gafford, .D. Avdija",WAS,5,40,109.9,109.7,0.2,59.4,1.46,16.1,20.0,77.3,50.0,0.1,52.1,59.1,109.86,51.4
".C. Paul, .J. Crowder, .M. Bridges, .D. Ayton, .C. Johnson",PHX,12,40,123.5,88.0,35.6,58.5,3.43,20.9,16.7,68.0,46.5,0.1,59.9,62.2,100.67,72.8
".D. DeRozan, .N. Vucevic, .A. McKinnie, .C. White, .A. Dosunmu",CHI,4,40,112.5,111.7,0.8,72.2,3.25,22.6,23.7,65.8,44.7,0.1,55.4,57.7,94.28,49.2
".D. Gallinari, .B. Bogdanovic, .J. Collins, .K. Huerter, .T. Young",ATL,15,40,105.7,127.4,-21.7,50.0,1.36,13.6,20.0,73.0,47.2,0.1,55.6,62.8,103.37,42.9
".D. Green, .O. Porter Jr., .A. Wiggins, .G. Payton II, .J. Poole",GSW,10,40,119.5,83.9,35.6,70.3,1.86,20.8,31.6,90.5,62.5,0.2,61.1,63.7,104.44,69.2
".E. Bledsoe, .J. Winslow, .L. Kennard, .I. Hartenstein, .B. Boston Jr.",LAC,8,40,105.3,91.1,14.2,68.6,1.71,18.5,26.1,72.2,51.0,0.1,52.6,56.5,111.1,60.1
".E. Gordon, .D. Schroder, .C. Wood, .J. Green, .J. Tate",HOU,3,40,92.3,130.8,-38.5,64.3,2.57,17.3,17.8,69.4,40.7,0.1,45.8,47.7,94.25,30.8
".G. Hayward, .T. Rozier, .M. Bridges, .C. Martin, .L. Ball",CHA,12,40,110.6,111.2,-0.6,48.7,2.71,15.4,20.0,73.7,43.2,0.1,52.9,55.7,114.73,45.1
".J. Valanciunas, .B. Ingram, .D. Graham, .J. Hayes, .H. Jones",NOP,6,40,102.5,112.7,-10.2,57.1,1.67,18.2,24.3,69.2,47.4,0.1,50.0,54.0,95.54,48.5
".K. Porter Jr., .G. Mathews, .J. Green, .J. Tate, .U. Garuba",HOU,2,40,137.9,120.5,17.5,52.5,5.25,17.8,22.2,85.3,49.4,0.0,61.7,65.2,104.75,50.1
".M. Smart, .J. Richardson, .J. Brown, .R. Williams III, .G. Williams",BOS,13,40,101.1,100.0,1.1,68.8,1.38,19.0,15.6,64.2,45.9,0.2,54.7,61.4,105.47,63.3
".R. Westbrook, .D. Jordan, .A. Bradley, .A. Davis, .K. Bazemore",LAL,5,40,84.5,103.6,-19.1,50.0,1.0,13.0,32.0,77.6,54.5,0.2,40.5,42.6,100.03,35.9
".T. Harris, .A. Drummond, .S. Curry, .G. Niang, .T. Maxey",PHI,7,40,113.6,121.7,-8.1,58.3,1.91,19.3,19.4,83.3,51.4,0.1,56.4,59.7,98.95,44.5
".T. Thompson, .B. Hield, .M. Bagley III, .T. Haliburton, .D. Mitchell",SAC,11,40,100.0,101.2,-1.2,54.5,1.8,13.8,47.5,72.1,57.8,0.1,43.7,45.2,99.76,45.0
".C. Osman, .J. Allen, .B. Goodwin, .I. Okoro, .E. Mobley",CLE,7,39,113.9,116.9,-3.0,66.7,2.18,19.4,48.9,77.8,59.7,0.1,50.0,52.7,95.06,49.4
".D. DeRozan, .T. Brown Jr., .T. Cook, .C. White, .M. Thomas",CHI,10,39,122.5,104.9,17.6,52.8,3.8,17.8,24.2,75.6,53.8,0.1,60.4,63.2,98.0,63.1
".D. Eubanks, .C. Elleby, .B. Williams, .G. Brown III, .K. Johnson",POR,4,39,107.4,135.4,-28.0,75.0,1.41,20.3,35.1,74.2,52.9,0.2,59.0,59.8,98.13,36.8
".D. Gallinari, .C. Capela, .B. Bogdanovic, .T. Young, .D. Hunter",ATL,17,39,105.7,105.7,0.1,46.9,1.5,13.9,17.6,74.5,50.6,0.1,54.6,59.8,107.81,51.2
".D. Rose, .A. Burks, .N. Noel, .O. Toppin, .I. Quickley",NYK,7,39,115.7,103.5,12.1,60.6,1.43,18.3,20.7,65.9,47.1,0.2,64.2,69.8,103.72,56.9
".D. Schroder, .M. Smart, .J. Richardson, .J. Tatum, .R. Williams III",BOS,7,39,129.3,83.8,45.5,53.8,2.33,18.1,35.1,70.6,52.1,0.1,59.5,63.3,99.18,72.7
".E. Fournier, .J. Randle, .M. Robinson, .R. Barrett, .I. Quickley",NYK,16,39,118.5,117.7,0.8,69.4,2.78,21.4,31.4,70.3,51.4,0.1,58.7,61.7,99.43,53.1
".H. Barnes, .T. Lyles, .D. Jones, .D. DiVincenzo, .D. Mitchell",SAC,7,39,128.4,92.2,36.2,50.0,1.33,17.2,44.1,76.3,61.1,0.2,65.0,67.1,97.07,67.5
".K. Oubre Jr., .T. Rozier, .M. Bridges, .C. Martin, .P. Washington",CHA,14,39,120.0,106.3,13.8,51.4,1.64,16.5,20.0,81.4,53.8,0.1,62.5,66.0,102.71,59.2
".L. Williams, .B. Bogdanovic, .D. Wright, .D. Hunter, .O. Okongwu",ATL,8,39,106.1,126.9,-20.8,64.5,1.25,17.5,35.3,60.6,47.8,0.2,53.8,59.7,98.61,43.0
".M. Smart, .J. Brown, .J. Tatum, .R. Williams III, .R. Langford",BOS,5,39,96.3,114.0,-17.7,73.3,1.47,19.8,22.5,56.3,40.9,0.2,50.7,52.4,101.98,37.0
".R. Gay, .B. Bogdanovic, .J. Clarkson, .R. O'Neale, .D. Mitchell",UTA,10,39,100.0,125.3,-25.3,43.3,1.44,12.4,23.8,64.9,43.0,0.1,49.3,52.8,101.11,36.0
".S. Adams, .K. Anderson, .T. Jones, .D. Melton, .Z. Williams",MEM,10,39,114.1,89.5,24.6,72.2,3.25,20.6,31.9,78.7,55.3,0.1,51.9,54.6,106.0,63.0
".T. Harris, .J. Embiid, .G. Niang, .M. Thybulle, .T. Maxey",PHI,11,39,101.3,122.5,-21.2,58.6,1.7,16.8,23.5,68.2,48.7,0.1,50.0,54.7,97.21,41.1
".A. Horford, .D. Schroder, .M. Smart, .J. Brown, .J. Tatum",BOS,8,38,81.0,101.2,-20.3,60.9,1.75,12.7,24.5,70.7,44.7,0.1,33.8,40.6,103.14,36.6
".D. Gallinari, .J. Collins, .K. Huerter, .T. Young, .C. Reddish",ATL,13,38,125.0,106.0,19.0,43.6,2.43,15.5,29.0,65.9,50.0,0.1,63.8,67.5,106.47,62.4
".D. Gallinari, .J. Collins, .K. Huerter, .T. Young, .D. Hunter",ATL,13,38,117.6,121.4,-3.8,62.2,1.92,20.0,21.9,71.1,48.6,0.1,61.8,66.6,106.47,48.1
".D. Lillard, .T. Snell, .N. Powell, .L. Nance Jr., .N. Little",POR,3,38,87.2,138.5,-51.3,73.9,1.31,16.7,17.1,73.5,42.7,0.2,44.4,48.6,98.79,25.7
".J. Allen, .C. Sexton, .D. Garland, .D. Wade, .E. Mobley",CLE,3,38,119.7,103.8,15.9,62.2,1.77,21.3,26.5,71.1,51.9,0.2,60.9,61.6,97.31,59.5
".J. Holiday, .W. Matthews, .K. Middleton, .G. Antetokounmpo, .B. Portis",MIL,8,38,123.5,89.9,33.7,48.6,1.55,14.9,32.4,84.2,58.7,0.1,58.8,64.3,103.07,72.0
".K. Oubre Jr., .M. Bridges, .C. Martin, .J. McDaniels, .L. Ball",CHA,9,38,138.5,137.0,1.4,69.8,4.29,26.3,19.4,52.8,37.3,0.1,70.1,71.1,99.5,50.6
".S. Adams, .J. Jackson Jr., .J. Morant, .J. Konchar, .D. Bane",MEM,5,38,132.5,86.1,46.4,67.5,5.4,21.3,42.6,82.2,62.0,0.1,54.3,57.5,100.63,72.5
".S. Adams, .T. Jones, .J. Jackson Jr., .D. Bane, .Z. Williams",MEM,6,38,145.0,92.3,52.7,63.6,5.6,21.9,47.6,80.0,63.4,0.1,59.9,62.0,99.15,75.6
".S. Curry, .A. Wiggins, .K. Looney, .G. Payton II, .J. Poole",GSW,12,38,125.3,109.5,15.8,59.5,2.44,20.0,28.1,65.6,46.9,0.1,67.4,69.0,102.1,54.4
".S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Toscano-Anderson",GSW,10,38,98.8,105.9,-7.0,60.7,0.89,14.5,35.9,56.1,46.3,0.2,56.3,58.0,107.65,42.7
".S. Dinwiddie, .D. Finney-Smith, .M. Kleber, .J. Brunson, .L. Doncic",DAL,8,38,115.8,88.2,27.6,51.6,1.78,16.7,13.3,63.4,42.3,0.1,62.5,64.8,95.89,64.7
".S. Gilgeous-Alexander, .D. Bazley, .L. Dort, .J. Robinson-Earl, .T. Mann",OKC,8,38,88.9,116.7,-27.8,50.0,1.08,13.5,22.0,71.4,44.7,0.2,46.3,49.4,100.54,35.0
".T. Maledon, .A. Pokusevski, .V. Krejci, .L. Waters III, .O. Sarr",OKC,8,38,117.5,76.9,40.6,72.7,2.4,20.7,30.8,76.5,56.7,0.1,60.9,62.2,99.94,80.9
".T. Ross, .G. Harris, .W. Carter Jr., .C. Anthony, .F. Wagner",ORL,12,38,114.0,118.1,-4.1,47.1,2.29,14.5,20.0,63.4,40.7,0.1,52.7,57.6,105.82,44.3
".A. Burks, .M. Robinson, .R. Barrett, .O. Toppin, .I. Quickley",NYK,8,37,131.5,81.2,50.3,64.9,4.8,23.3,21.9,68.2,48.7,0.1,66.7,66.5,92.95,78.6
".A. Horford, .D. Schroder, .J. Richardson, .J. Brown, .G. Williams",BOS,11,37,89.2,113.3,-24.1,69.6,1.33,16.2,23.7,65.6,42.9,0.2,47.5,50.9,97.34,32.1
".C. Joseph, .T. Lyles, .J. Jackson, .F. Jackson, .H. Diallo",DET,9,37,118.7,120.8,-2.1,63.6,1.91,20.4,28.6,44.7,37.9,0.1,63.3,66.8,99.45,50.5
".C. Paul, .J. McGee, .M. Bridges, .L. Shamet, .C. Johnson",PHX,10,37,120.0,82.1,37.9,67.6,2.08,21.4,34.3,72.7,55.7,0.2,56.3,59.8,105.2,71.6
".C. Wood, .K. Porter Jr., .J. Green, .J. Tate, .J. Christopher",HOU,14,37,87.8,103.6,-15.8,60.0,1.38,17.0,15.4,63.0,41.2,0.2,50.0,51.2,108.68,41.9
".D. Green, .A. Drummond, .S. Curry, .F. Korkmaz, .T. Maxey",PHI,2,37,112.5,105.7,6.8,75.9,2.2,21.2,29.4,70.7,52.0,0.1,56.3,58.9,92.86,60.5
".D. Murray, .J. Poeltl, .D. White, .K. Bates-Diop, .K. Johnson",SAS,4,37,107.6,93.4,14.2,57.9,2.75,17.9,44.9,83.7,63.0,0.1,47.6,47.5,99.78,59.6
".G. Hill, .K. Middleton, .B. Portis, .P. Connaughton, .G. Allen",MIL,15,37,84.1,102.4,-18.3,51.9,1.08,13.0,25.5,84.4,49.4,0.2,41.1,43.8,107.71,30.4
".H. Whiteside, .B. Bogdanovic, .J. Clarkson, .R. O'Neale, .T. Forrest",UTA,6,37,101.3,112.5,-11.3,40.0,0.75,11.7,31.4,88.2,59.4,0.2,52.5,55.9,104.3,43.0
".J. Anderson, .B. Hield, .G. Bitadze, .O. Brissett, .T. Haliburton",IND,4,37,94.9,113.8,-18.8,81.5,1.57,20.0,23.1,62.2,44.0,0.2,46.2,52.0,102.12,42.2
".J. Green, .A. Rivers, .W. Barton, .N. Jokic, .M. Morris",DEN,11,37,103.8,121.1,-17.2,71.0,1.83,20.6,20.0,63.4,43.4,0.2,56.2,58.7,99.64,44.2
".J. Harden, .D. Green, .T. Harris, .J. Embiid, .T. Maxey",PHI,10,37,100.0,117.7,-17.7,70.0,1.5,19.4,27.3,73.7,52.1,0.2,55.6,58.6,101.09,43.7
".J. Johnson, .P. Mills, .A. Drummond, .S. Curry, .B. Brown",BKN,4,37,111.1,113.7,-2.6,74.2,2.3,21.1,34.1,70.6,50.7,0.1,51.4,53.4,95.05,46.6
".J. Poeltl, .K. Johnson, .D. Vassell, .T. Jones, .J. Primo",SAS,8,37,116.7,109.6,7.0,84.2,2.13,27.1,7.1,78.0,49.3,0.2,74.2,73.3,107.84,54.6
".K. Anderson, .J. Jackson Jr., .J. Morant, .D. Bane, .Z. Williams",MEM,8,37,105.8,112.9,-7.1,77.4,3.43,19.7,27.1,67.5,45.5,0.1,48.1,52.5,109.79,48.8
".K. Love, .C. LeVert, .L. Markkanen, .D. Garland, .I. Okoro",CLE,8,37,113.2,105.1,8.1,62.1,2.57,18.0,20.0,85.7,47.1,0.1,55.3,58.5,100.88,46.2
".K. Lowry, .M. Morris, .B. Adebayo, .M. Strus, .T. Herro",MIA,6,37,117.1,82.5,34.6,82.8,2.0,20.9,24.3,84.8,57.8,0.1,53.8,62.1,105.03,73.3
".R. Covington, .J. Nurkic, .N. Powell, .A. Simons, .N. Little",POR,3,37,104.3,131.8,-27.5,64.0,1.45,15.5,40.9,65.7,51.9,0.2,47.0,49.8,88.05,36.2
".R. Jackson, .R. Covington, .L. Kennard, .I. Hartenstein, .T. Mann",LAC,8,37,108.3,102.8,5.6,70.4,2.38,17.9,34.1,60.5,46.3,0.1,47.1,50.9,94.19,54.7
".R. Rubio, .L. Markkanen, .J. Allen, .C. Sexton, .E. Mobley",CLE,8,37,87.2,90.9,-3.7,68.0,1.21,16.3,25.7,60.4,45.8,0.2,45.0,50.1,101.22,50.9
".A. Burks, .N. Noel, .Q. Grimes, .O. Toppin, .I. Quickley",NYK,7,36,126.7,125.7,1.0,54.8,2.83,17.0,22.9,74.1,45.2,0.1,56.9,63.2,99.47,52.8
".A. Horford, .J. Tatum, .D. White, .G. Williams, .P. Pritchard",BOS,10,36,117.4,78.9,38.4,71.0,3.67,22.2,21.1,78.1,47.1,0.1,54.4,55.9,97.98,64.8
".B. Beal, .K. Caldwell-Pope, .S. Dinwiddie, .D. Gafford, .D. Avdija",WAS,4,36,100.0,119.5,-19.5,58.1,1.13,17.3,26.5,76.5,51.5,0.2,52.3,55.9,103.05,42.8
".D. Augustin, .G. Mathews, .K. Martin Jr., .J. Christopher, .A. Sengun",HOU,7,36,113.8,116.9,-3.1,58.6,0.89,16.0,39.3,66.7,54.7,0.2,60.7,66.2,104.16,52.1
".D. DeRozan, .N. Vucevic, .A. Caruso, .C. White, .A. Dosunmu",CHI,6,36,115.0,84.8,30.2,58.8,2.5,18.2,24.4,86.5,53.8,0.1,52.7,56.8,106.39,62.1
".F. VanVleet, .C. Boucher, .G. Trent Jr., .P. Achiuwa, .S. Barnes",TOR,14,36,101.3,98.7,2.6,48.3,1.56,13.0,37.5,55.6,46.2,0.1,45.3,48.2,102.91,46.9
".J. Green, .A. Rivers, .Z. Nnaji, .F. Campazzo, .B. Hyland",DEN,4,36,121.6,120.8,0.8,62.9,2.2,20.2,41.2,74.3,58.0,0.1,61.0,62.2,97.32,48.4
".J. Harden, .J. Johnson, .P. Mills, .D. Bembry, .N. Claxton",BKN,7,36,105.3,81.1,24.3,60.7,1.55,16.5,28.2,68.8,50.6,0.1,51.6,53.7,100.5,71.1
".J. Valanciunas, .T. Satoransky, .B. Ingram, .J. Hart, .N. Alexander-Walker",NOP,7,36,104.1,117.3,-13.2,75.0,1.75,21.2,14.7,84.8,49.3,0.2,56.5,58.4,100.0,42.2
".K. Birch, .F. VanVleet, .O. Anunoby, .G. Trent Jr., .S. Barnes",TOR,9,36,112.0,134.2,-22.2,41.9,1.3,12.1,48.7,58.3,53.3,0.1,49.3,53.3,100.9,40.2
".K. Lowry, .P. Tucker, .B. Adebayo, .M. Strus, .T. Herro",MIA,8,36,123.1,116.5,6.6,63.0,1.7,16.2,31.4,77.4,53.0,0.1,54.1,64.3,104.05,52.0
".L. Markkanen, .J. Allen, .B. Goodwin, .I. Okoro, .E. Mobley",CLE,6,36,104.2,90.3,13.9,61.5,1.6,15.5,40.5,78.6,60.8,0.1,46.8,52.9,96.29,67.4
".P. Siakam, .F. VanVleet, .O. Anunoby, .C. Boucher, .S. Barnes",TOR,6,36,112.9,110.0,2.9,72.4,3.5,21.0,25.7,69.0,45.3,0.1,57.3,59.9,93.94,51.0
".R. Bullock, .D. Powell, .D. Finney-Smith, .M. Kleber, .L. Doncic",DAL,13,36,105.6,108.0,-2.4,50.0,1.08,13.8,27.8,82.1,56.0,0.2,51.6,56.2,97.77,43.3
".R. Gay, .H. Whiteside, .J. Clarkson, .J. Ingles, .D. Mitchell",UTA,11,36,105.7,121.3,-15.6,56.3,1.13,15.3,32.5,77.8,50.7,0.2,56.0,60.0,116.15,40.2
".R. Rubio, .E. Davis, .D. Garland, .D. Wade, .I. Okoro",CLE,2,36,102.8,101.4,1.4,60.7,1.55,17.0,32.4,91.4,61.1,0.2,50.0,52.3,94.72,47.7
".T. Satoransky, .K. Caldwell-Pope, .K. Porzingis, .R. Hachimura, .D. Avdija",WAS,8,36,97.5,104.9,-7.4,56.7,1.89,16.0,23.1,77.5,50.6,0.1,47.1,52.0,106.38,47.0
".A. Horford, .J. Brown, .D. White, .G. Williams, .P. Pritchard",BOS,11,35,121.4,95.9,25.5,63.3,2.38,20.0,17.6,64.3,43.4,0.1,58.6,62.1,99.24,58.2
".A. Horford, .M. Smart, .J. Brown, .D. White, .G. Williams",BOS,8,35,100.0,106.9,-6.9,56.7,2.43,17.7,13.2,77.1,43.8,0.1,50.8,52.6,100.68,46.6
".B. Beal, .K. Caldwell-Pope, .K. Kuzma, .A. Holiday, .D. Gafford",WAS,6,35,117.6,116.9,0.7,52.9,2.0,18.6,34.4,74.2,54.0,0.1,56.2,58.4,94.91,45.1
".B. Hield, .O. Brissett, .T. Haliburton, .I. Jackson, .T. Taylor",IND,5,35,138.2,125.0,13.2,62.5,2.27,21.9,43.3,71.4,58.5,0.1,65.9,69.0,102.81,57.9
".C. Joseph, .R. McGruder, .J. Grant, .S. Bey, .I. Stewart",DET,7,35,75.3,108.5,-33.1,65.0,1.3,13.5,22.2,74.3,45.0,0.1,38.3,39.9,97.44,21.4
".C. LeVert, .L. Markkanen, .D. Garland, .I. Okoro, .L. Stevens",CLE,7,35,129.2,127.9,1.2,66.7,2.86,19.8,27.3,67.6,48.6,0.1,59.3,66.0,94.99,52.9
".D. Green, .T. Harris, .S. Curry, .J. Embiid, .F. Korkmaz",PHI,6,35,98.7,119.2,-20.5,48.4,1.07,15.6,13.3,71.4,44.6,0.2,54.1,58.1,105.72,44.7
".E. Freedom, .D. Schroder, .J. Richardson, .J. Tatum, .G. Williams",BOS,9,35,108.5,88.7,19.7,42.3,1.0,11.8,33.3,71.4,52.9,0.2,53.5,58.9,97.94,67.9
".G. Hayward, .M. Plumlee, .M. Bridges, .C. Martin, .L. Ball",CHA,16,35,110.5,116.7,-6.2,57.9,1.69,18.6,27.8,68.4,48.6,0.2,59.9,62.6,115.87,49.3
".K. Caldwell-Pope, .S. Dinwiddie, .K. Kuzma, .T. Bryant, .A. Holiday",WAS,3,35,82.2,140.3,-58.1,66.7,1.56,15.1,15.0,69.0,37.7,0.1,38.5,44.7,98.72,24.0
".K. Hayes, .S. Bey, .I. Stewart, .I. Livers, .C. Cunningham",DET,3,35,98.6,124.7,-26.0,70.8,1.55,16.8,28.2,90.3,55.7,0.2,43.7,51.1,100.69,39.4
".K. Love, .R. Rubio, .C. Osman, .D. Garland, .E. Mobley",CLE,7,35,94.9,81.5,13.4,81.5,2.44,21.4,13.2,65.4,43.3,0.1,50.0,53.1,107.57,63.3
".K. Oubre Jr., .M. Bridges, .C. Martin, .P. Washington, .L. Ball",CHA,14,35,122.5,108.8,13.8,65.8,1.92,22.5,23.3,71.4,49.2,0.2,68.5,69.7,108.67,55.9
".K. Thompson, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,7,35,126.0,111.0,15.1,63.6,2.1,19.1,41.0,87.1,61.4,0.1,58.1,59.6,100.13,55.8
".K. Towns, .M. Beasley, .J. Vanderbilt, .J. McLaughlin, .A. Edwards",MIN,11,35,113.9,82.9,31.0,66.7,2.2,19.3,30.2,85.3,54.5,0.1,54.7,57.1,111.52,63.1
".K. Walker, .A. Burks, .E. Fournier, .J. Randle, .M. Robinson",NYK,7,35,116.9,94.4,22.5,50.0,2.67,16.2,31.6,67.5,50.0,0.1,52.2,56.2,99.39,59.6
