Lineups,TEAM,MIN,GP,OffRtg,DefRtg,NetRtg
"D'Angelo Russell, Karl-Anthony Towns, Jarred Vanderbilt, Anthony Edwards, Jalen McDaniels",MIN,155,19,108.1,112.6,-4.6
"Josh Green, Austin Rivers, Aaron Gordon, Nikola Jokic, Monte Morris",DEN,153,10,123.1,104.5,18.6
"DeMar DeRozan, Nikola Vucevic, Zach LaVine, Lonzo Ball, Josh Green",CHI,152,13,109.7,106.2,3.5
"Doug McDermott, Dejounte Murray, Jakob Poeltl, Keon Johnson, Devin Vassell",SAS,152,17,113.5,114.5,-1.0
"Pascal Siakam, Fred VanVleet, Gary Trent Jr., Precious Achiuwa, Scottie Barnes",TOR,152,15,114.7,101.3,13.4
"Clint Capela, Timothe Luwawu-Cabarrot, John Collins, Kevin Huerter, Trae Young",ATL,151,10,118.2,110.9,7.3
"Myles Turner, Domantas Sabonis, Caris LeVert, Malcolm Brogdon, Chris Duarte",IND,148,11,122.6,108.0,14.6
"Dwight Powell, Dorian Finney-Smith, Maxi Kleber, Jalen Brunson, Luka Doncic",DAL,142,20,105.3,117.7,-12.4
"Jonas Valanciunas, CJ McCollum, Brandon Ingram, Jaxson Hayes, Herbert Jones",NOP,142,12,122.6,114.3,8.2
"Jae Crowder, Devin Booker, Cameron Payne, Mikal Bridges, Deandre Ayton",PHX,138,19,122.1,109.2,13.0
"Mason Plumlee, Terry Rozier, Miles Bridges, Cody Martin, LaMelo Ball",CHA,136,27,123.4,109.3,14.1
"Garrett Temple, Jonas Valanciunas, Josh Hart, Devonte' Graham, Nickeil Alexander-Walker",NOP,135,20,100.0,109.4,-9.4
"CJ McCollum, Robert Covington, Jusuf Nurkic, Norman Powell, Anfernee Simons",POR,131,10,100.7,116.5,-15.7
"Christian Wood, Kevin Porter Jr., Garrison Mathews, Josh Green, Jae'Sean Tate",HOU,129,17,106.5,111.4,-4.9
"Chris Paul, JaVale McGee, Jae Crowder, Devin Booker, Mikal Bridges",PHX,127,18,112.2,93.2,19.0
"Shai Gilgeous-Alexander, Luguentz Dort, Jeremiah Robinson-Earl, Josh Giddey, Aaron Wiggins",OKC,126,12,112.3,121.5,-9.2
"Austin Rivers, Will Barton, Aaron Gordon, Nikola Jokic, Monte Morris",DEN,125,18,117.6,102.7,14.9
"Clint Capela, Bojan Bogdanovic, Kevin Huerter, Trae Young, De'Andre Hunter",ATL,125,20,113.1,106.1,7.0
"Hassan Whiteside, Bogdan Bogdanovic, Joe Ingles, Royce O'Neale, Donovan Mitchell",UTA,125,24,109.5,110.6,-1.2
"Bradley Beal, Kentavious Caldwell-Pope, Spencer Dinwiddie, Montrezl Harrell, Kyle Kuzma",WAS,121,20,103.0,109.4,-6.4
"Cory Joseph, Hamidou Diallo, Saddiq Bey, Isaiah Stewart, Cade Cunningham",DET,121,11,96.4,120.5,-24.1
"Kevin Durant, Kyrie Irving, Andre Drummond, Seth Curry, Bruce Brown",BKN,121,8,117.3,117.9,-0.5
"Tomas Satoransky, Kentavious Caldwell-Pope, Kristaps Porzingis, Rui Hachimura, Corey Kispert",WAS,121,11,116.9,109.6,7.4
"Mike Conley, Rudy Gobert, Jordan Clarkson, Joe Ingles, Eric Paschall",UTA,119,14,111.5,94.7,16.8
"Steven Adams, Kyle Anderson, De'Anthony Melton, Ja Morant, Ziaire Williams",MEM,119,23,112.7,91.7,21.0
"Lou Williams, Danilo Gallinari, Bojan Bogdanovic, Delon Wright, Onyeka Okongwu",ATL,118,13,119.5,97.2,22.3
"Chris Paul, Jae Crowder, Mikal Bridges, Landry Shamet, Deandre Ayton",PHX,116,18,107.2,99.6,7.6
"P.J. Tucker, Jimmy Butler, Bam Adebayo, Duncan Robinson, Tyler Herro",MIA,114,28,107.4,100.4,7.0
"Tyus Jones, Josh Jackson Jr., Brandon Clarke, John Konchar, Desmond Bane",MEM,113,21,101.2,111.2,-10.0
"DeMarcus Cousins, Austin Rivers, Josh Green, Bryn Forbes, Bones Hyland",DEN,112,11,121.9,109.1,12.8
"Marcus Smart, Jaylen Brown, Jayson Tatum, Robert Williams III, Grant Williams",BOS,109,22,126.8,95.8,31.0
"Doug McDermott, Dejounte Murray, Derrick White, Drew Eubanks, Keon Johnson",SAS,108,12,98.2,109.6,-11.3
"Jarrett Allen, Darius Garland, Dean Wade, Isaac Okoro, Evan Mobley",CLE,108,9,121.0,98.6,22.4
"Harrison Barnes, Maurice Harkless, Richaun Holmes, De'Aaron Fox, Tyrese Haliburton",SAC,106,10,113.5,109.6,3.9
"DeMar DeRozan, Nikola Vucevic, Zach LaVine, Coby White, Josh Green",CHI,105,11,119.5,112.1,7.3
"Derrick Favors, Shai Gilgeous-Alexander, Darius Bazley, Luguentz Dort, Josh Giddey",OKC,105,11,95.8,117.2,-21.4
"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Anthony Edwards, Jalen McDaniels",MIN,104,23,113.2,101.4,11.9
"Pascal Siakam, Fred VanVleet, Chris Boucher, Gary Trent Jr., Scottie Barnes",TOR,104,11,122.9,99.5,23.3
"Al Horford, Dennis Schroder, Marcus Smart, Jayson Tatum, Robert Williams III",BOS,103,12,94.2,111.3,-17.0
"D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt, Anthony Edwards",MIN,103,18,135.2,121.0,14.2
"Tim Hardaway Jr., Dwight Powell, Kristaps Porzingis, Dorian Finney-Smith, Luka Doncic",DAL,103,11,95.8,113.0,-17.1
"Dewayne Dedmon, Cody Martin, Gabe Vincent, Max Strus, Tyler Herro",MIA,101,16,109.5,104.4,5.1
"Reggie Bullock, Dorian Finney-Smith, Maxi Kleber, Jalen Brunson, Luka Doncic",DAL,101,19,105.8,103.4,2.4
"Mo Bamba, Wendell Carter Jr., Cole Anthony, R.J. Hampton, Franz Wagner",ORL,100,11,106.7,112.6,-6.0
"Eric Gordon, Christian Wood, Armoni Brooks, Garrison Mathews, Jae'Sean Tate",HOU,97,9,111.4,113.3,-2.0
"Mason Plumlee, Kelly Oubre Jr., Terry Rozier, Miles Bridges, LaMelo Ball",CHA,97,18,105.6,113.8,-8.2
"Kyle Lowry, P.J. Tucker, Dewayne Dedmon, Duncan Robinson, Tyler Herro",MIA,96,18,114.7,109.7,5.0
"Steven Adams, Dillon Brooks, Josh Jackson Jr., Ja Morant, Desmond Bane",MEM,96,10,117.0,94.6,22.4
"DeMar DeRozan, Nikola Vucevic, Zach LaVine, Alex Caruso, Lonzo Ball",CHI,95,16,108.6,96.0,12.5
"Jonas Valanciunas, Brandon Ingram, Devonte' Graham, Nickeil Alexander-Walker, Herbert Jones",NOP,95,15,106.3,98.6,7.7
"Tim Hardaway Jr., Dwight Powell, Dorian Finney-Smith, Jalen Brunson, Luka Doncic",DAL,95,19,119.6,107.3,12.3
"Clint Capela, Timothe Luwawu-Cabarrot, Kevin Huerter, Trae Young, De'Andre Hunter",ATL,94,7,117.1,119.2,-2.1
"LaMarcus Aldridge, Kevin Durant, James Harden, Patty Mills, .D. Bembry",BKN,94,14,117.2,108.8,8.3
"Harrison Barnes, Justin Holiday, Trey Lyles, Damian Jones, Davion Mitchell",SAC,93,9,97.9,128.4,-30.5
"Lauri Markkanen, Jarrett Allen, Darius Garland, Lamar Stevens, Evan Mobley",CLE,93,9,109.0,93.4,15.6
"DeMar DeRozan, Nikola Vucevic, Zach LaVine, Alex Caruso, Ayo Dosunmu",CHI,92,10,105.4,127.4,-22.0
"Terry Rozier, Miles Bridges, Cody Martin, P.J. Washington, LaMelo Ball",CHA,92,19,116.8,116.3,0.5
"Justin Holiday, Myles Turner, Domantas Sabonis, Caris LeVert, Malcolm Brogdon",IND,91,10,114.0,103.7,10.3
"Cory Joseph, Jerami Grant, Marvin Bagley III, Saddiq Bey, Cade Cunningham",DET,90,7,94.5,104.9,-10.4
"Kristaps Porzingis, Dorian Finney-Smith, Maxi Kleber, Jalen Brunson, Luka Doncic",DAL,90,9,111.8,106.1,5.8
"Dejounte Murray, Jakob Poeltl, Derrick White, Keon Johnson, Devin Vassell",SAS,89,21,107.9,107.2,0.6
"Derrick Rose, Taj Gibson, Alec Burks, Obi Toppin, Immanuel Quickley",NYK,89,10,112.2,84.2,28.0
"Kemba Walker, Evan Fournier, Nerlens Noel, Julius Randle, RJ Barrett",NYK,89,10,107.4,105.2,2.2
"LeBron James, Russell Westbrook, Avery Bradley, Stanley Johnson, Malik Monk",LAL,89,12,122.9,113.5,9.4
"Al Horford, Dennis Schroder, Marcus Smart, Jayson Tatum, Grant Williams",BOS,88,13,121.4,103.8,17.5
"Mike Conley, Bogdan Bogdanovic, Rudy Gobert, Joe Ingles, Royce O'Neale",UTA,88,7,104.5,103.4,1.1
"Chris Paul, Bismack Biyombo, Devin Booker, Mikal Bridges, Cameron Johnson",PHX,87,10,116.3,118.0,-1.7
"Stephen Curry, Otto Porter Jr., Andrew Wiggins, Kevon Looney, Jordan Poole",GSW,86,11,123.4,100.0,23.4
"Cory Joseph, Jerami Grant, Hamidou Diallo, Saddiq Bey, Isaiah Stewart",DET,85,8,102.4,107.6,-5.2
"Mo Bamba, Chuma Okeke, Cole Anthony, R.J. Hampton, Franz Wagner",ORL,85,7,104.4,115.1,-10.7
"Tobias Harris, Joel Embiid, Furkan Korkmaz, Matisse Thybulle, Tyrese Maxey",PHI,85,10,108.3,104.2,4.1
"Gordon Hayward, Terry Rozier, Miles Bridges, P.J. Washington, LaMelo Ball",CHA,84,14,100.5,118.2,-17.7
"Harrison Barnes, Justin Holiday, Trey Lyles, Domantas Sabonis, De'Aaron Fox",SAC,84,8,117.9,120.2,-2.3
"Bogdan Bogdanovic, Rudy Gobert, Jordan Clarkson, Royce O'Neale, Donovan Mitchell",UTA,83,30,106.6,104.5,2.1
"Christian Wood, Kevin Porter Jr., Garrison Mathews, Josh Green, Kenyon Martin Jr.",HOU,82,17,110.2,121.2,-11.0
"Gordon Hayward, Mason Plumlee, Kelly Oubre Jr., Miles Bridges, LaMelo Ball",CHA,82,10,98.9,102.2,-3.4
"Stephen Curry, Klay Thompson, Otto Porter Jr., Andrew Wiggins, Kevon Looney",GSW,81,10,111.2,102.3,9.0
"Josh Green, Will Barton, Aaron Gordon, Nikola Jokic, Bones Hyland",DEN,80,7,107.5,103.5,4.0
"Justin Holiday, Myles Turner, Domantas Sabonis, Malcolm Brogdon, Chris Duarte",IND,80,10,90.8,100.0,-9.2
"Kemba Walker, Evan Fournier, Julius Randle, Mitchell Robinson, Quentin Grimes",NYK,80,7,123.2,105.4,17.9
"Taj Gibson, Kemba Walker, Evan Fournier, Julius Randle, RJ Barrett",NYK,80,16,114.0,120.9,-6.9
"Dejounte Murray, Jakob Poeltl, Derrick White, Lonnie Walker IV, Keon Johnson",SAS,79,17,111.8,113.0,-1.3
