Lineups,TEAM,MIN,GP,OffRtg,DefRtg,NetRtg
"Cory Joseph, Trey Lyles, Frank Jackson, Hamidou Diallo, Saddiq Bey",DET,59,6,102.4,103.9,-1.6
"Eric Gordon, Garrison Mathews, Kenyon Martin Jr., Josh Christopher, Alperen Sengun",HOU,59,11,101.6,117.6,-16.0
"George Hill, Khris Middleton, Giannis Antetokounmpo, Bobby Portis, Grayson Allen",MIL,59,15,113.8,94.4,19.4
"Garrett Temple, Willy Hernangomez, Josh Hart, Devonte' Graham, Herbert Jones",NOP,59,4,104.0,115.0,-11.0
"Kevin Durant, Blake Griffin, James Harden, Patty Mills, Bruce Brown",BKN,59,7,110.9,98.4,12.4
"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, Miles Bridges, Cody Martin",CHA,59,17,112.0,115.7,-3.7
"Christian Wood, Kevin Porter Jr., Josh Green, Jae'Sean Tate, Alperen Sengun",HOU,58,6,97.6,107.2,-9.6
"George Hill, Khris Middleton, Giannis Antetokounmpo, Pat Connaughton, Grayson Allen",MIL,58,11,104.7,118.1,-13.4
"Harrison Barnes, Alex Len, De'Aaron Fox, Marvin Bagley III, Tyrese Haliburton",SAC,58,8,102.5,113.8,-11.3
"Steven Adams, Kyle Anderson, Josh Jackson Jr., Ja Morant, Desmond Bane",MEM,58,9,113.4,132.5,-19.1
"Stephen Curry, Klay Thompson, Andrew Wiggins, Kevon Looney, Jonathan Kuminga",GSW,58,5,105.0,111.5,-6.5
"Alec Burks, Evan Fournier, Julius Randle, RJ Barrett, Jericho Sims",NYK,57,14,99.2,93.7,5.5
"Danny Green, Tobias Harris, Joel Embiid, Matisse Thybulle, Tyrese Maxey",PHI,57,11,98.3,110.0,-11.7
"JaVale McGee, Cameron Payne, Mikal Bridges, Landry Shamet, Cameron Johnson",PHX,57,12,100.8,106.1,-5.3
"Khem Birch, Pascal Siakam, Fred VanVleet, OG Anunoby, Gary Trent Jr.",TOR,57,11,116.4,115.4,1.0
"Russell Westbrook, Avery Bradley, Anthony Davis, Stanley Johnson, Malik Monk",LAL,57,8,100.9,119.8,-19.0
"Alec Burks, Evan Fournier, Mitchell Robinson, RJ Barrett, Obi Toppin",NYK,56,5,109.3,110.3,-1.0
"Alec Burks, Evan Fournier, RJ Barrett, Obi Toppin, Jericho Sims",NYK,56,6,107.9,112.4,-4.5
"Harrison Barnes, Damian Jones, De'Aaron Fox, Marvin Bagley III, Tyrese Haliburton",SAC,56,8,100.0,112.0,-12.0
"Jrue Holiday, Khris Middleton, Bobby Portis, Pat Connaughton, Grayson Allen",MIL,56,14,103.3,106.9,-3.6
"Jonas Valanciunas, Brandon Ingram, Josh Hart, Devonte' Graham, Nickeil Alexander-Walker",NOP,56,11,122.2,123.5,-1.3
"Paul George, Reggie Jackson, Ivica Zubac, Luke Kennard, Tre Mann",LAC,56,15,107.5,103.4,4.1
"Reggie Bullock, Tim Hardaway Jr., Dwight Powell, Dorian Finney-Smith, Luka Doncic",DAL,56,15,77.0,105.1,-28.1
"Shai Gilgeous-Alexander, Darius Bazley, Isaiah Roby, Tre Mann, Aaron Wiggins",OKC,56,6,100.8,141.0,-40.1
"Derrick Rose, Alec Burks, Mitchell Robinson, Obi Toppin, Immanuel Quickley",NYK,55,14,124.6,105.1,19.4
"Jrue Holiday, Khris Middleton, Giannis Antetokounmpo, Bobby Portis, Pat Connaughton",MIL,55,14,119.5,105.0,14.6
"Robin Lopez, Gary Harris, Chuma Okeke, Cole Anthony, Franz Wagner",ORL,55,7,94.9,117.5,-22.7
"Will Barton, Josh Green, Aaron Gordon, Nikola Jokic, Monte Morris",DEN,55,9,99.1,117.0,-17.8
"DeMar DeRozan, Nikola Vucevic, Zach LaVine, Alex Caruso, Josh Green",CHI,54,10,110.2,100.9,9.3
"Nikola Vucevic, Zach LaVine, Damian Jones Jr., Lonzo Ball, Ayo Dosunmu",CHI,54,6,107.2,104.5,2.7
"Alec Burks, Julius Randle, Mitchell Robinson, RJ Barrett, Immanuel Quickley",NYK,53,11,95.4,103.7,-8.3
"Al Horford, Dennis Schroder, Josh Richardson, Jayson Tatum, Grant Williams",BOS,53,15,101.0,100.9,0.0
"Carmelo Anthony, Russell Westbrook, Avery Bradley, Anthony Davis, Talen Horton-Tucker",LAL,53,7,111.2,100.0,11.2
"Derrick Favors, Shai Gilgeous-Alexander, Luguentz Dort, Jeremiah Robinson-Earl, Josh Giddey",OKC,53,4,98.1,99.0,-1.0
"Damian Lillard, Jusuf Nurkic, Norman Powell, Larry Nance Jr., Nassir Little",POR,53,5,110.0,114.3,-4.3
"Eric Gordon, Christian Wood, Garrison Mathews, Josh Green, Jae'Sean Tate",HOU,53,8,104.3,129.9,-25.6
"Ish Smith, Daniel Gafford, Deni Avdija, Anthony Gill, Corey Kispert",WAS,53,5,105.5,128.0,-22.6
"Jrue Holiday, Khris Middleton, Giannis Antetokounmpo, Pat Connaughton, Grayson Allen",MIL,53,18,117.5,106.9,10.6
"Kentavious Caldwell-Pope, Spencer Dinwiddie, Kyle Kuzma, Aaron Holiday, Daniel Gafford",WAS,53,5,102.8,107.2,-4.4
"Kyle Lowry, P.J. Tucker, Jimmy Butler, Bam Adebayo, Max Strus",MIA,53,8,131.5,121.7,9.8
"Tristan Thompson, Harrison Barnes, Buddy Hield, Chimezie Metu, Tyrese Haliburton",SAC,53,4,101.9,118.7,-16.8
"D'Angelo Russell, Malik Beasley, Taurean Prince, Naz Reid, Jalen McDaniels",MIN,52,13,89.4,102.6,-13.3
"Ish Smith, Rui Hachimura, Daniel Gafford, Deni Avdija, Corey Kispert",WAS,52,12,99.1,114.5,-15.4
"James Harden, Tobias Harris, Joel Embiid, Georges Niang, Tyrese Maxey",PHI,52,14,111.8,111.5,0.3
"Jayson Tatum, Derrick White, Daniel Theis, Grant Williams, Payton Pritchard",BOS,52,11,118.7,109.7,9.0
"Kyle Lowry, Jimmy Butler, Cody Martin, Tyler Herro, Omer Yurtseven",MIA,52,3,121.6,108.9,12.7
"Mike Conley, Bogdan Bogdanovic, Royce O'Neale, Donovan Mitchell, Udoka Azubuike",UTA,52,5,99.1,98.1,1.0
"CJ McCollum, .C. Zeller, Larry Nance Jr., Anfernee Simons, Nassir Little",POR,51,16,98.1,101.8,-3.6
"Devin Booker, Cameron Payne, Torrey Craig, Mikal Bridges, Deandre Ayton",PHX,51,6,134.5,96.4,38.2
"Danilo Gallinari, Bojan Bogdanovic, Delon Wright, Trae Young, Onyeka Okongwu",ATL,51,17,126.7,98.3,28.4
"Danilo Gallinari, Clint Capela, Bojan Bogdanovic, Kevin Huerter, Trae Young",ATL,51,15,113.9,115.0,-1.1
"Dennis Schroder, Garrison Mathews, Kenyon Martin Jr., Josh Christopher, Alperen Sengun",HOU,51,8,93.6,112.5,-18.9
"Eric Bledsoe, Monte Morris Sr., Ivica Zubac, Luke Kennard, Tre Mann",LAC,51,5,120.6,128.9,-8.2
"Kyle Lowry, P.J. Tucker, Jimmy Butler, Bam Adebayo, Tyler Herro",MIA,51,14,93.9,101.8,-7.9
"Stephen Curry, Draymond Green, Otto Porter Jr., Andrew Wiggins, Jordan Poole",GSW,51,13,105.2,90.8,14.4
"Stephen Curry, Klay Thompson, Andrew Wiggins, Kevon Looney, Moses Moody",GSW,51,7,104.7,107.4,-2.7
"Tristan Thompson, Harrison Barnes, Buddy Hield, De'Aaron Fox, Davion Mitchell",SAC,51,16,105.3,135.8,-30.5
"DeMar DeRozan, Nikola Vucevic, Coby White, Josh Green, Ayo Dosunmu",CHI,50,7,101.9,106.3,-4.4
"Dejounte Murray, Jakob Poeltl, Keita Bates-Diop, Lonnie Walker IV, Joshua Primo",SAS,50,6,95.3,117.9,-22.6
"Jrue Holiday, Giannis Antetokounmpo, Bobby Portis, Pat Connaughton, Grayson Allen",MIL,50,18,103.4,111.4,-8.0
"Khem Birch, Pascal Siakam, Gary Trent Jr., Malachi Flynn, Scottie Barnes",TOR,50,6,123.2,128.7,-5.5
"Kentavious Caldwell-Pope, Raul Neto, Kyle Kuzma, Daniel Gafford, Deni Avdija",WAS,50,14,88.0,114.5,-26.6
"Patrick Beverley, Karl-Anthony Towns, Jarred Vanderbilt, Anthony Edwards, Jalen McDaniels",MIN,50,14,111.3,97.2,14.2
"Tim Hardaway Jr., Kristaps Porzingis, Dorian Finney-Smith, Jalen Brunson, Luka Doncic",DAL,50,14,92.5,109.6,-17.1
"Tobias Harris, Seth Curry, Joel Embiid, Furkan Korkmaz, Tyrese Maxey",PHI,50,13,133.7,116.8,16.8
"Terrence Ross, Gary Harris, Mo Bamba, Chuma Okeke, Jalen Suggs",ORL,50,13,83.6,99.1,-15.5
"Bam Adebayo, Cody Martin, Gabe Vincent, Max Strus, Tyler Herro",MIA,49,13,110.3,92.9,17.4
"Ben McLemore, Jusuf Nurkic, Justise Winslow, Anfernee Simons, CJ Elleby",POR,49,5,107.9,117.6,-9.7
"DeMar DeRozan, Nikola Vucevic, Troy Brown Jr., Coby White, Ayo Dosunmu",CHI,49,12,98.1,120.4,-22.3
"Danny Green, Tobias Harris, Andre Drummond, Seth Curry, Tyrese Maxey",PHI,49,8,114.6,115.6,-1.0
"Eric Gordon, Christian Wood, Daniel Theis, Josh Green, Jae'Sean Tate",HOU,49,6,67.0,103.8,-36.8
"Josh Green, Will Barton, Nikola Jokic, Monte Morris, Davon Reed",DEN,49,7,117.5,125.5,-8.0
"James Harden, Patty Mills, Kyrie Irving, Day'Ron Sharpe, Kessler Edwards",BKN,49,4,134.0,111.7,22.3
"Justin Holiday, Myles Turner, Domantas Sabonis, Caris LeVert, Chris Duarte",IND,49,7,118.9,110.4,8.5
"LeBron James, Carmelo Anthony, Malik Monk, Talen Horton-Tucker, Austin Reaves",LAL,49,14,99.1,120.0,-20.9
"Nikola Vucevic, Zach LaVine, Coby White, Josh Green, Ayo Dosunmu",CHI,49,18,95.3,92.2,3.1
"Pascal Siakam, Chris Boucher, Gary Trent Jr., Precious Achiuwa, Scottie Barnes",TOR,49,12,115.5,90.5,25.1
"Rudy Gay, Rudy Gobert, Jordan Clarkson, Joe Ingles, Trent Forrest",UTA,49,19,106.9,99.0,7.8
"Rajon Rondo, Kevin Love, Cedi Osman, Lamar Stevens, Evan Mobley",CLE,49,11,118.9,105.8,13.1
"Terrence Ross, Gary Harris, Wendell Carter Jr., Chuma Okeke, Cole Anthony",ORL,49,19,99.1,93.7,5.4
"Alec Burks, Evan Fournier, Julius Randle, Mitchell Robinson, Immanuel Quickley",NYK,48,13,104.1,93.6,10.5
"Bradley Beal, Kentavious Caldwell-Pope, Raul Neto, Montrezl Harrell, Kyle Kuzma",WAS,48,21,97.0,106.7,-9.6
"Davis Bertans, Spencer Dinwiddie, Montrezl Harrell, Aaron Holiday, Deni Avdija",WAS,48,9,93.5,125.6,-32.0
"Damian Lillard, .C. Zeller, Larry Nance Jr., Anfernee Simons, Nassir Little",POR,48,17,118.8,97.0,21.8
"Harrison Barnes, Richaun Holmes, De'Aaron Fox, Marvin Bagley III, Tyrese Haliburton",SAC,48,4,114.4,130.3,-15.9
"Isaiah Roby, Theo Maledon, Aleksej Pokusevski, Vit Krejci, Aaron Wiggins",OKC,48,4,114.2,126.2,-12.0
"Patrick Beverley, Malik Beasley, Jarred Vanderbilt, Naz Reid, Anthony Edwards",MIN,48,9,107.3,103.1,4.2
"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Precious Achiuwa",TOR,48,10,110.8,109.1,1.7
"Pascal Siakam, Fred VanVleet, OG Anunoby, Gary Trent Jr., Precious Achiuwa",TOR,48,11,109.5,98.2,11.4
"Stephen Curry, Klay Thompson, Andrew Wiggins, Kevon Looney, Gary Payton II",GSW,48,8,121.5,101.9,19.6
"Spencer Dinwiddie, Montrezl Harrell, Aaron Holiday, Deni Avdija, Corey Kispert",WAS,48,11,105.1,104.2,0.8
"Tim Hardaway Jr., Dwight Powell, Kristaps Porzingis, Dorian Finney-Smith, Jalen Brunson",DAL,48,5,104.2,105.1,-0.9
"Davis Bertans, Bradley Beal, Raul Neto, Montrezl Harrell, Deni Avdija",WAS,47,16,103.0,97.0,6.0
"Dennis Schroder, Marcus Smart, Jayson Tatum, Robert Williams III, Grant Williams",BOS,47,13,107.8,111.2,-3.4
"Khem Birch, Pascal Siakam, Fred VanVleet, OG Anunoby, Scottie Barnes",TOR,47,9,103.3,111.3,-8.1
"LeBron James, Russell Westbrook, DeAndre Jordan, Anthony Davis, Kent Bazemore",LAL,47,4,98.1,112.3,-14.2
"Steven Adams, Kyle Anderson, Ja Morant, Desmond Bane, Ziaire Williams",MEM,47,15,108.9,133.0,-24.1
"Spencer Dinwiddie, Dwight Powell, Dorian Finney-Smith, Jalen Brunson, Luka Doncic",DAL,47,7,109.2,120.4,-11.2
"Tobias Harris, Seth Curry, Joel Embiid, Furkan Korkmaz, Matisse Thybulle",PHI,47,10,111.2,108.1,3.1
"Wesley Matthews, Khris Middleton, Giannis Antetokounmpo, Bobby Portis, Jordan Nwora",MIL,47,3,142.2,115.0,27.2
"Al Horford, Dennis Schroder, Jaylen Brown, Jayson Tatum, Grant Williams",BOS,46,5,107.2,99.0,8.2
"Al Horford, Marcus Smart, Jaylen Brown, Jayson Tatum, Daniel Theis",BOS,46,3,133.3,95.9,37.5
"Nicolas Batum, Reggie Jackson, Ivica Zubac, Amir Coffey, Tre Mann",LAC,46,7,86.3,123.2,-36.8
"Patrick Beverley, D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt",MIN,46,10,103.0,106.1,-3.2
"Reggie Bullock, Dwight Powell, Kristaps Porzingis, Dorian Finney-Smith, Luka Doncic",DAL,46,5,120.2,88.3,31.9
"Brook Lopez, Jrue Holiday, Wesley Matthews, Khris Middleton, Giannis Antetokounmpo",MIL,45,5,103.1,108.3,-5.3
"Danilo Gallinari, Clint Capela, Timothe Luwawu-Cabarrot, Kevin Huerter, Trae Young",ATL,45,9,120.6,113.7,6.9
"D'Angelo Russell, Karl-Anthony Towns, Josh Okogie, Anthony Edwards, Jalen McDaniels",MIN,45,6,90.8,91.7,-0.9
"D'Angelo Russell, Karl-Anthony Towns, Taurean Prince, Jarred Vanderbilt, Anthony Edwards",MIN,45,9,117.7,99.0,18.7
"Dennis Schroder, Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams",BOS,45,14,103.4,119.1,-15.7
"Jerami Grant, Frank Jackson, Killian Hayes, Saddiq Bey, Isaiah Stewart",DET,45,9,85.0,103.1,-18.1
"Josh Jackson Jr., Ja Morant, Brandon Clarke, Desmond Bane, Ziaire Williams",MEM,45,12,99.0,119.0,-20.0
"Mike Conley, Rudy Gobert, Royce O'Neale, Juancho Hernangomez, Donovan Mitchell",UTA,45,4,112.8,103.5,9.3
"Mike Muscala, Shai Gilgeous-Alexander, Darius Bazley, Luguentz Dort, Josh Giddey",OKC,45,12,129.5,119.6,9.9
"Marcus Smart, Josh Richardson, Jaylen Brown, Jayson Tatum, Robert Williams III",BOS,45,9,125.0,98.9,26.1
"Patrick Beverley, D'Angelo Russell, Karl-Anthony Towns, Jarred Vanderbilt, Jalen McDaniels",MIN,45,5,107.6,119.0,-11.4
"Pascal Siakam, Fred VanVleet, OG Anunoby, Precious Achiuwa, Scottie Barnes",TOR,45,6,96.7,92.0,4.7
"Reggie Bullock, Spencer Dinwiddie, Dorian Finney-Smith, Maxi Kleber, Luka Doncic",DAL,45,9,106.7,116.2,-9.5
"Reggie Bullock, Spencer Dinwiddie, Dwight Powell, Dorian Finney-Smith, Jalen Brunson",DAL,45,7,114.9,117.2,-2.3
"Willy Hernangomez, Brandon Ingram, Josh Hart, Devonte' Graham, Herbert Jones",NOP,45,10,100.0,100.0,0.0
"Dennis Schroder, Daishen Nix, Kenyon Martin Jr., Josh Christopher, Alperen Sengun",HOU,44,4,106.7,109.9,-3.1
"Justin Holiday, Domantas Sabonis, Caris LeVert, Torrey Craig, Chris Duarte",IND,44,6,101.1,126.1,-25.0
"Monte Morris Sr., Reggie Jackson, Ivica Zubac, Amir Coffey, Tre Mann",LAC,44,8,101.1,121.8,-20.7
"Pascal Siakam, Fred VanVleet, Chris Boucher, Gary Trent Jr., Precious Achiuwa",TOR,44,18,117.4,94.7,22.7
"Stephen Curry, Klay Thompson, Andrew Wiggins, Kevon Looney, Jordan Poole",GSW,44,8,128.1,79.3,48.8
"Damian Lillard, CJ McCollum, Robert Covington, Jusuf Nurkic, Nassir Little",POR,43,7,98.9,109.5,-10.5
"Eric Gordon, Kevin Porter Jr., Josh Green, Kenyon Martin Jr., Alperen Sengun",HOU,43,4,115.8,102.1,13.7
"George Hill, Jrue Holiday, Giannis Antetokounmpo, Bobby Portis, Grayson Allen",MIL,43,11,107.4,99.0,8.5
"LaMarcus Aldridge, Kevin Durant, James Harden, Patty Mills, Bruce Brown",BKN,43,11,112.6,111.3,1.3
"LeBron James, Dwight Howard, .T. Ariza, Russell Westbrook, Avery Bradley",LAL,43,4,96.6,112.5,-15.9
"Marcus Smart, Jaylen Brown, Derrick White, Robert Williams III, Grant Williams",BOS,43,11,108.7,124.5,-15.8
"Stephen Curry, Otto Porter Jr., Andrew Wiggins, Kevon Looney, Gary Payton II",GSW,43,7,108.7,94.6,14.1
"Shai Gilgeous-Alexander, Darius Bazley, Isaiah Roby, Aleksej Pokusevski, Tre Mann",OKC,43,5,108.8,97.0,11.8
"Tobias Harris, Seth Curry, Joel Embiid, Georges Niang, Tyrese Maxey",PHI,43,12,114.0,93.7,20.3
"T.J. McConnell, Myles Turner, Domantas Sabonis, Caris LeVert, Chris Duarte",IND,43,4,113.2,95.7,17.5
"Terrence Ross, Mo Bamba, Wendell Carter Jr., Cole Anthony, Franz Wagner",ORL,43,18,115.8,118.6,-2.8
"Austin Rivers, Will Barton, Aaron Gordon, Nikola Jokic, Facundo Campazzo",DEN,42,8,88.5,118.0,-29.5
"DeMarcus Cousins, Austin Rivers, Josh Green, Bryn Forbes, Facundo Campazzo",DEN,42,3,120.9,92.2,28.7
".D. Walton Jr., Hamidou Diallo, Saddiq Bey, .C. Stanley, Luka Garza",DET,42,3,121.3,86.4,35.0
"George Hill, Jrue Holiday, Giannis Antetokounmpo, Pat Connaughton, Grayson Allen",MIL,42,14,141.3,68.9,72.4
"Jarrett Culver, Killian Tillie, John Konchar, Xavier Tillman, Santi Aldama",MEM,42,4,122.1,110.5,11.6
"Jusuf Nurkic, Norman Powell, Larry Nance Jr., Anfernee Simons, Nassir Little",POR,42,2,143.0,129.1,14.0
"Kentavious Caldwell-Pope, Raul Neto, Kristaps Porzingis, Rui Hachimura, Corey Kispert",WAS,42,3,104.8,127.4,-22.6
"Klay Thompson, Draymond Green, Andrew Wiggins, Kevon Looney, Jordan Poole",GSW,42,4,95.3,121.8,-26.5
"LeBron James, Russell Westbrook, Avery Bradley, Anthony Davis, Talen Horton-Tucker",LAL,42,5,109.2,107.9,1.3
"Paul George, Eric Bledsoe, Reggie Jackson, Ivica Zubac, Amir Coffey",LAC,42,4,114.6,113.3,1.4
"Reggie Bullock, Dwight Powell, Kristaps Porzingis, Dorian Finney-Smith, Jalen Brunson",DAL,42,4,114.8,118.8,-3.9
"Richaun Holmes, De'Aaron Fox, Chimezie Metu, Terence Davis, Tyrese Haliburton",SAC,42,3,103.2,94.6,8.7
"Chris Paul, Devin Booker, Mikal Bridges, Deandre Ayton, Cameron Johnson",PHX,41,17,117.7,92.5,25.2
"Derrick Favors, Darius Bazley, Luguentz Dort, Tre Mann, Josh Giddey",OKC,41,3,90.7,107.0,-16.3
"Derrick Rose, Evan Fournier, Julius Randle, Mitchell Robinson, RJ Barrett",NYK,41,11,90.9,105.8,-14.9
"Harrison Barnes, Alex Len, Buddy Hield, De'Aaron Fox, Davion Mitchell",SAC,41,10,89.8,114.1,-24.4
"Harrison Barnes, Richaun Holmes, Buddy Hield, De'Aaron Fox, Davion Mitchell",SAC,41,14,102.2,94.5,7.7
"Khem Birch, Fred VanVleet, OG Anunoby, Svi Mykhailiuk, Gary Trent Jr.",TOR,41,6,111.8,88.0,23.8
"Kyle Lowry, P.J. Tucker, Bam Adebayo, Duncan Robinson, Gabe Vincent",MIA,41,5,119.3,110.1,9.2
"Kyle Lowry, P.J. Tucker, Jimmy Butler, Dewayne Dedmon, Duncan Robinson",MIA,41,15,88.6,118.9,-30.3
"Paul George, Eric Bledsoe, Luke Kennard, Isaiah Hartenstein, Tre Mann",LAC,41,16,118.6,87.4,31.2
"P.J. Tucker, Jimmy Butler, Bam Adebayo, Gabe Vincent, Tyler Herro",MIA,41,9,108.3,113.6,-5.2
"Reggie Bullock, Dwight Powell, Dorian Finney-Smith, Maxi Kleber, Jalen Brunson",DAL,41,9,106.1,89.3,16.8
"Reggie Jackson, Robert Covington, Luke Kennard, Isaiah Hartenstein, Amir Coffey",LAC,41,7,114.8,97.7,17.1
"Ricky Rubio, Lauri Markkanen, Jarrett Allen, Darius Garland, Evan Mobley",CLE,41,13,128.7,88.1,40.6
"Terrence Ross, Wendell Carter Jr., Chuma Okeke, Cole Anthony, Franz Wagner",ORL,41,9,94.0,101.2,-7.1
"Andre Iguodala, Stephen Curry, Nemanja Bjelica, Otto Porter Jr., Gary Payton II",GSW,40,10,115.1,89.3,25.8
"Bradley Beal, Kentavious Caldwell-Pope, Kyle Kuzma, Daniel Gafford, Deni Avdija",WAS,40,5,109.9,109.7,0.2
"Chris Paul, Jae Crowder, Mikal Bridges, Deandre Ayton, Cameron Johnson",PHX,40,12,123.5,88.0,35.6
"DeMar DeRozan, Nikola Vucevic, .A. McKinnie, Coby White, Ayo Dosunmu",CHI,40,4,112.5,111.7,0.8
"Danilo Gallinari, Bojan Bogdanovic, John Collins, Kevin Huerter, Trae Young",ATL,40,15,105.7,127.4,-21.7
"Draymond Green, Otto Porter Jr., Andrew Wiggins, Gary Payton II, Jordan Poole",GSW,40,10,119.5,83.9,35.6
"Eric Bledsoe, Justise Winslow, Luke Kennard, Isaiah Hartenstein, Brandon Boston Jr.",LAC,40,8,105.3,91.1,14.2
"Eric Gordon, Dennis Schroder, Christian Wood, Josh Green, Jae'Sean Tate",HOU,40,3,92.3,130.8,-38.5
"Gordon Hayward, Terry Rozier, Miles Bridges, Cody Martin, LaMelo Ball",CHA,40,12,110.6,111.2,-0.6
"Jonas Valanciunas, Brandon Ingram, Devonte' Graham, Jaxson Hayes, Herbert Jones",NOP,40,6,102.5,112.7,-10.2
"Kevin Porter Jr., Garrison Mathews, Josh Green, Jae'Sean Tate, Usman Garuba",HOU,40,2,137.9,120.5,17.5
"Marcus Smart, Josh Richardson, Jaylen Brown, Robert Williams III, Grant Williams",BOS,40,13,101.1,100.0,1.1
"Russell Westbrook, DeAndre Jordan, Avery Bradley, Anthony Davis, Kent Bazemore",LAL,40,5,84.5,103.6,-19.1
"Tobias Harris, Andre Drummond, Seth Curry, Georges Niang, Tyrese Maxey",PHI,40,7,113.6,121.7,-8.1
"Tristan Thompson, Buddy Hield, Marvin Bagley III, Tyrese Haliburton, Davion Mitchell",SAC,40,11,100.0,101.2,-1.2
"Cedi Osman, Jarrett Allen, Brandon Goodwin, Isaac Okoro, Evan Mobley",CLE,39,7,113.9,116.9,-3.0
"DeMar DeRozan, Troy Brown Jr., Tyler Cook, Coby White, Matt Thomas",CHI,39,10,122.5,104.9,17.6
"Drew Eubanks, CJ Elleby, Brandon Williams, Greg Brown III, Keon Johnson",POR,39,4,107.4,135.4,-28.0
"Danilo Gallinari, Clint Capela, Bojan Bogdanovic, Trae Young, De'Andre Hunter",ATL,39,17,105.7,105.7,0.1
"Derrick Rose, Alec Burks, Nerlens Noel, Obi Toppin, Immanuel Quickley",NYK,39,7,115.7,103.5,12.1
"Dennis Schroder, Marcus Smart, Josh Richardson, Jayson Tatum, Robert Williams III",BOS,39,7,129.3,83.8,45.5
"Evan Fournier, Julius Randle, Mitchell Robinson, RJ Barrett, Immanuel Quickley",NYK,39,16,118.5,117.7,0.8
"Harrison Barnes, Trey Lyles, Damian Jones, Donte DiVincenzo, Davion Mitchell",SAC,39,7,128.4,92.2,36.2
"Kelly Oubre Jr., Terry Rozier, Miles Bridges, Cody Martin, P.J. Washington",CHA,39,14,120.0,106.3,13.8
"Lou Williams, Bojan Bogdanovic, Delon Wright, De'Andre Hunter, Onyeka Okongwu",ATL,39,8,106.1,126.9,-20.8
"Marcus Smart, Jaylen Brown, Jayson Tatum, Robert Williams III, Romeo Langford",BOS,39,5,96.3,114.0,-17.7
"Rudy Gay, Bogdan Bogdanovic, Jordan Clarkson, Royce O'Neale, Donovan Mitchell",UTA,39,10,100.0,125.3,-25.3
"Steven Adams, Kyle Anderson, Tyus Jones, De'Anthony Melton, Ziaire Williams",MEM,39,10,114.1,89.5,24.6
"Tobias Harris, Joel Embiid, Georges Niang, Matisse Thybulle, Tyrese Maxey",PHI,39,11,101.3,122.5,-21.2
"Al Horford, Dennis Schroder, Marcus Smart, Jaylen Brown, Jayson Tatum",BOS,38,8,81.0,101.2,-20.3
"Danilo Gallinari, John Collins, Kevin Huerter, Trae Young, Cam Reddish",ATL,38,13,125.0,106.0,19.0
"Danilo Gallinari, John Collins, Kevin Huerter, Trae Young, De'Andre Hunter",ATL,38,13,117.6,121.4,-3.8
"Damian Lillard, Tony Snell, Norman Powell, Larry Nance Jr., Nassir Little",POR,38,3,87.2,138.5,-51.3
"Jarrett Allen, Collin Sexton, Darius Garland, Dean Wade, Evan Mobley",CLE,38,3,119.7,103.8,15.9
"Jrue Holiday, Wesley Matthews, Khris Middleton, Giannis Antetokounmpo, Bobby Portis",MIL,38,8,123.5,89.9,33.7
"Kelly Oubre Jr., Miles Bridges, Cody Martin, Jalen McDaniels, LaMelo Ball",CHA,38,9,138.5,137.0,1.4
"Steven Adams, Josh Jackson Jr., Ja Morant, John Konchar, Desmond Bane",MEM,38,5,132.5,86.1,46.4
"Steven Adams, Tyus Jones, Josh Jackson Jr., Desmond Bane, Ziaire Williams",MEM,38,6,145.0,92.3,52.7
"Stephen Curry, Andrew Wiggins, Kevon Looney, Gary Payton II, Jordan Poole",GSW,38,12,125.3,109.5,15.8
"Stephen Curry, Nemanja Bjelica, Otto Porter Jr., Gary Payton II, Juan Toscano-Anderson",GSW,38,10,98.8,105.9,-7.0
"Spencer Dinwiddie, Dorian Finney-Smith, Maxi Kleber, Jalen Brunson, Luka Doncic",DAL,38,8,115.8,88.2,27.6
"Shai Gilgeous-Alexander, Darius Bazley, Luguentz Dort, Jeremiah Robinson-Earl, Tre Mann",OKC,38,8,88.9,116.7,-27.8
"Theo Maledon, Aleksej Pokusevski, Vit Krejci, Lindy Waters III, .O. Sarr",OKC,38,8,117.5,76.9,40.6
"Terrence Ross, Gary Harris, Wendell Carter Jr., Cole Anthony, Franz Wagner",ORL,38,12,114.0,118.1,-4.1
"Alec Burks, Mitchell Robinson, RJ Barrett, Obi Toppin, Immanuel Quickley",NYK,37,8,131.5,81.2,50.3
"Al Horford, Dennis Schroder, Josh Richardson, Jaylen Brown, Grant Williams",BOS,37,11,89.2,113.3,-24.1
"Cory Joseph, Trey Lyles, Josh Jackson, Frank Jackson, Hamidou Diallo",DET,37,9,118.7,120.8,-2.1
"Chris Paul, JaVale McGee, Mikal Bridges, Landry Shamet, Cameron Johnson",PHX,37,10,120.0,82.1,37.9
"Christian Wood, Kevin Porter Jr., Josh Green, Jae'Sean Tate, Josh Christopher",HOU,37,14,87.8,103.6,-15.8
"Danny Green, Andre Drummond, Seth Curry, Furkan Korkmaz, Tyrese Maxey",PHI,37,2,112.5,105.7,6.8
"Dejounte Murray, Jakob Poeltl, Derrick White, Keita Bates-Diop, Keon Johnson",SAS,37,4,107.6,93.4,14.2
